Freq,Period,SD,phase_offset
None,None,4.551772,None
10,0.1,0.942904,pi
14,0.071428571,5.998234,pi
16,0.0625,4.139535,pi
18,0.055555556,2.888823,pi
1,1,31.697217,pi
20,0.05,3.165825,pi
25,0.04,2.876086,pi
2,0.5,14.791117,pi
30,0.033333333,1.883182,pi
3,0.333333333,13.770645,pi
4,0.25,10.943187,pi
60,0.016666667,2.45665,pi
6,0.166666667,7.46996,pi
8,0.125,5.569105,pi
0.5,2,16.068319,pi
0.66,1.515151515,24.025926,pi
1.33,0.751879699,20.544852,pi
0.835,1.19760479,31.038675,pi
0.87,1.149425287,31.71052,pi
0.5,2,2.72482,0
0.66,1.515151515,2.232079,0
0.835,1.19760479,3.297328,0
0.87,1.149425287,3.45408,0
1.11,0.900900901,3.284653,0
1.33,0.751879699,13.520951,0
10,0.1,10.024928,0
1,1,2.379619,0
20,0.05,9.677762,0
2,0.5,7.918802,0
3,0.333333333,2.465551,0
4,0.25,4.326609,0
14,0.071428571,2.166426,0
16,0.0625,2.374441,0
18,0.055555556,1.594873,0
30,0.033333333,2.057757,0
6,0.166666667,3.854366,0
8,0.125,6.220907,0
25,0.04,1.760465,0
