time,theta_t_noPulse,theta_t_fit_noPulse,theta_t_pi_phi,theta_t_fit_pi_phi,theta_t_0_phi
0.01,-7.0817,-7.323827651,10.676132,16.37124606,11.503383
0.02,-7.144149,-7.301123474,9.296556,15.05012124,10.971426
0.03,-7.007696,-7.257685432,11.661151,13.49157705,10.344751
0.04,-6.624361,-7.193636882,8.010067,11.72019992,10.087324
0.05,-6.272275,-7.109159708,7.348689,9.763933753,10.189442
0.06,-5.867775,-7.004493811,10.709772,7.653639127,8.738712
0.07,-5.73941,-6.879936423,9.279412,5.422606462,6.055403
0.08,-5.458986,-6.735841265,7.253273,3.106030846,3.750099
0.09,-5.331665,-6.57261754,5.465728,0.740456829,2.265856
0.1,-5.327194,-6.390728775,3.210623,-1.636798077,1.256667
0.11,-5.492536,-6.1906915,1.122405,-3.98823209,0.393047
0.12,-5.549962,-5.973073785,-0.176157,-6.276750761,-0.301755
0.13,-4.955523,-5.738493624,-2.267226,-8.466252145,-0.701895
0.14,-4.523927,-5.487617184,-3.596553,-10.52219632,-1.691507
0.15,-4.209294,-5.221156907,-5.083468,-12.41215026,-3.204384
0.16,-3.899036,-4.939869492,-7.575045,-14.10629947,-5.397462
0.17,-3.692456,-4.644553744,-9.937661,-15.57791834,-7.265345
0.18,-3.497999,-4.336048307,-12.671447,-16.80379172,-8.867151
0.19,-3.390832,-4.015229279,-14.960934,-17.76458115,-10.085423
0.2,-3.455468,-3.68300773,-17.185427,-18.44512994,-10.710112
0.21,-3.458481,-3.340327107,-18.648448,-18.83470227,-11.50899
0.22,-2.979445,-2.988160561,-19.881633,-18.92715253,-12.399567
0.23,-2.5126,-2.627508182,-20.866376,-18.72102231,-13.071588
0.24,-2.078423,-2.259394157,-21.340212,-18.21956336,-14.216617
0.25,-1.629374,-1.884863862,-20.871145,-17.43068631,-15.526118
0.26,-0.712919,-1.504980896,-18.605409,-16.3668359,-16.209947
0.27,-0.423818,-1.120824058,-16.345891,-15.04479463,-16.615131
0.28,-0.373892,-0.733484283,-11.998148,-13.48541802,-17.066176
0.29,-0.386005,-0.344061545,-8.183008,-11.71330563,-17.452854
0.3,-0.101867,0.046338265,-7.113811,-9.756412953,-17.795044
0.31,0.863842,0.436606482,-5.449216,-7.645610465,-18.192402
0.32,1.367544,0.825634817,-3.72904,-5.414196592,-19.163673
0.33,1.834223,1.212318498,4.078358,-3.097372435,-19.277337
0.34,2.352367,1.595559415,-0.514667,-0.731686466,-19.145683
0.35,2.405401,1.974269233,9.109867,1.645542037,-18.681392
0.36,2.443381,2.347372484,11.670342,3.996811709,-19.165894
0.37,2.578023,2.713809624,13.519911,6.285030694,-19.283744
0.38,2.621486,3.072540037,15.107727,8.474101773,-18.623713
0.39,3.005695,3.422544995,17.375223,10.52949181,-17.632132
0.4,3.315142,3.762830545,18.764232,12.41877653,-16.855656
0.41,3.493563,4.09243034,19.980465,14.11215199,-16.579407
0.42,3.803376,4.410408376,20.414259,15.58290478,-16.618909
0.43,4.115029,4.715861653,20.775195,16.80783342,-16.978641
0.44,4.605224,5.007922738,19.610966,17.76761435,-17.757316
0.45,5.07204,5.285762232,10.983727,18.44710679,-17.123093
0.46,5.366711,5.548591121,10.410676,18.83559158,-17.097774
0.47,5.486775,5.795663018,9.760414,18.92694029,-17.404359
0.48,5.633821,6.026276285,8.784554,18.71971185,-18.601824
0.49,5.705403,6.23977602,7.952387,18.21717536,-20.084612
0.5,5.837309,6.435555925,7.349389,17.42725844,-20.134817
0.51,6.118374,6.613060019,6.828564,16.36242223,-20.516135
0.52,6.427079,6.771784222,6.311638,15.03946479,-20.344905
0.53,6.713402,6.911277788,5.870182,13.47925609,-19.423422
0.54,6.978598,7.03114458,4.896021,11.70640881,-18.685791
0.55,7.277292,7.131044197,3.967332,9.748890057,-18.349137
0.56,7.257892,7.210692944,2.995687,7.63758016,-14.934111
0.57,7.47275,7.269864631,4.569731,5.405785558,-10.287415
0.58,8.021745,7.308391222,2.417251,3.088713359,-6.586551
0.59,5.959376,7.326163309,0.258421,0.722915946,-3.405917
0.6,5.920291,7.323130423,-1.267895,-1.654285643,-2.694046
0.61,6.242406,7.299301175,0.964272,-4.005390469,-1.681616
0.62,6.497738,7.254743236,-5.668414,-6.293309276,-1.030631
0.63,8.578947,7.189583144,-0.552519,-8.48194958,-0.451912
0.64,8.494027,7.104005941,-1.863534,-10.53678504,0.19102
0.65,8.185057,6.998254651,-12.374084,-12.42540013,0.753154
0.66,8.037507,6.872629588,-5.174241,-14.11800147,1.490181
0.67,8.20762,6.727487504,-18.052479,-15.58788787,2.505131
0.68,8.14801,6.563240577,-20.600022,-16.8118715,3.168982
0.69,6.412226,6.380355238,-22.174376,-17.77064373,3.937984
0.7,5.971715,6.179350849,-23.744261,-18.44907967,4.833254
0.71,5.743856,5.960798225,-24.722455,-18.83647685,5.480625
0.72,6.265987,5.725318016,-25.278321,-18.92672397,9.379397
0.73,5.960962,5.473578943,-25.427159,-18.71839737,10.076363
0.74,5.77008,5.206295899,-16.845354,-18.21478344,10.100671
0.75,5.377899,4.924227921,-24.531849,-17.42382682,10.373937
0.76,5.178881,4.628176029,-19.689821,-16.35800505,11.412817
0.77,4.943035,4.318980957,-15.228533,-15.03413172,11.559027
0.78,4.487982,3.997520763,-11.187565,-13.47309127,11.898149
0.79,4.183134,3.664708336,-8.783986,-11.69950949,12.360858
0.8,3.450485,3.321488802,-6.28493,-9.741365065,12.377525
0.81,2.873053,2.968836843,-3.962873,-7.629548214,12.566779
0.82,2.472866,2.607753927,-2.03641,-5.397373362,12.672935
0.83,2.22392,2.239265463,-0.707499,-3.080053618,12.895103
0.84,1.996813,1.864417891,8.982321,-0.714145271,12.94858
0.85,1.782385,1.484275711,11.74121,1.663028894,13.210847
0.86,1.370699,1.099918457,14.120304,4.013968369,13.504369
0.87,1.063359,0.712437635,15.494372,6.301586505,13.923048
0.88,0.794848,0.322933619,17.231535,8.489795564,13.694551
0.89,0.293001,-0.06748747,19.40277,10.54407601,10.177619
0.9,-0.102824,-0.457716907,20.713904,12.43202106,10.034698
0.91,-0.476725,-0.84664651,21.90435,14.12384793,9.970036
0.92,-0.447517,-1.233171792,22.391439,15.59286761,10.222728
0.93,-0.549565,-1.616195089,22.781522,16.81590598,14.144433
0.94,-0.720439,-1.994628686,22.574662,17.77366929,14.329389
0.95,-0.827148,-2.367397899,21.486174,18.45104859,14.507439
0.96,-1.485509,-2.733444132,19.0233,18.83735807,13.883441
0.97,-1.72619,-3.09172788,16.428497,18.92650359,13.872379
0.98,-2.540467,-3.441231682,14.626098,18.71707886,14.34749
