time,S_mixed_NoPulsation,S_mixed_phi_0,S_mixed_phi_pi
0,0,0,0
0.06,0.016805595,0.01725295,0.017384845
0.12,0.028197284,0.030353561,0.032324696
0.18,0.041297255,0.040708208,0.060267616
0.24,0.056804956,0.056324923,0.086779753
0.3,0.065320408,0.080488161,0.109519122
0.36,0.081777691,0.116635388,0.137446371
0.42,0.093303309,0.134595237,0.160943381
0.48,0.103938438,0.152005753,0.173560041
0.54,0.123111797,0.164073181,0.205085623
0.6,0.134574113,0.169971327,0.237216368
0.66,0.148607305,0.183085977,0.260485221
0.72,0.162005967,0.199425847,0.283905898
0.78,0.170909307,0.217023675,0.304699079
0.84,0.180773324,0.247669563,0.330222915
0.9,0.191302856,0.263210263,0.350763183
0.96,0.201095902,0.273904433,0.363316152
1.02,0.210641271,0.279845052,0.376457869
1.08,0.217834275,0.282564972,0.395099593
1.14,0.223645525,0.285361554,0.409954316
1.2,0.232077757,0.294208781,0.423140383
1.26,0.236092899,0.3107744,0.439091391
1.32,0.245061366,0.337321434,0.45367034
1.38,0.252758337,0.352823697,0.468038745
1.44,0.252061037,0.363716177,0.47862191
1.5,0.263343267,0.370377081,0.489052252
1.56,0.269914105,0.37757186,0.49742507
1.62,0.273589405,0.378123284,0.50926452
1.68,0.28088022,0.383167009,0.515147767
1.74,0.281331901,0.388667482,0.522245404
1.8,0.285432794,0.403086758,0.530860123
1.86,0.294462807,0.430599448,0.541360419
1.92,0.297633787,0.441487052,0.550659283
1.98,0.301655957,0.446856213,0.557441774
2.04,0.306794111,0.452638185,0.562563273
2.1,0.308786367,0.452863151,0.565911904
2.16,0.312951396,0.457398197,0.572252645
2.22,0.316161442,0.463110964,0.579480841
2.28,0.318500021,0.478209067,0.583993862
2.34,0.324353566,0.507137085,0.598291376
2.4,0.323938218,0.520286391,0.605819288
2.46,0.328766134,0.526729721,0.611212956
2.52,0.334200731,0.530629956,0.61775996
2.58,0.334004164,0.534891102,0.624567869
2.64,0.337552464,0.533032895,0.629685887
2.7,0.34098008,0.534710716,0.632894101
2.76,0.339742022,0.540521013,0.632859476
2.82,0.345577377,0.573128292,0.644702628
2.88,0.346907836,0.586438973,0.649135657
2.94,0.348099698,0.592743647,0.654764701
3,0.353520827,0.596268803,0.658806792
3.06,0.354693402,0.597253697,0.661961388
3.12,0.353577802,0.596885194,0.666024479
3.18,0.359143937,0.590595961,0.668133761
3.24,0.357354518,0.596413795,0.666623302
3.3,0.361752065,0.60722884,0.674831863
3.36,0.364685797,0.628058644,0.679501038
3.42,0.367308307,0.633260057,0.684686835
3.48,0.369091892,0.634848097,0.687175559
3.54,0.367293846,0.637479436,0.693488359
3.6,0.368472038,0.636081498,0.697745318
3.66,0.373820132,0.629894888,0.700060646
3.72,0.374464945,0.637981344,0.701711678
3.78,0.377720315,0.64543954,0.701348857
3.84,0.379531161,0.665850427,0.71031562
3.9,0.379325817,0.671702663,0.71236006
3.96,0.380936932,0.673146097,0.716914411
4.02,0.383449972,0.674942635,0.721535073
4.08,0.378854737,0.677322828,0.72575183
4.14,0.384051501,0.678701341,0.728703997
4.2,0.385962333,0.673976749,0.731198002
4.26,0.386600817,0.67972364,0.733913793
4.32,0.390073808,0.690333214,0.737343894
4.38,0.392048351,0.701705393,0.739684386
4.44,0.392406743,0.704299346,0.744774708
4.5,0.393813735,0.704796935,0.747091751
4.56,0.390728698,0.705029956,0.750848562
4.62,0.390756115,0.705347273,0.754277884
4.68,0.39666097,0.6964614,0.757637915
4.74,0.391718838,0.702661444,0.760903563
4.8,0.397771445,0.713643871,0.763225491
4.86,0.400673838,0.726674293,0.765222193
4.92,0.397736883,0.734344209,0.76821115
4.98,0.401451749,0.736210743,0.770185358
5.04,0.40250551,0.736518936,0.775162725
5.1,0.401599466,0.73629461,0.778508169
5.16,0.406206224,0.733538157,0.780635069
5.22,0.403903649,0.736888457,0.782103003
5.28,0.403611009,0.741470084,0.784254307
5.34,0.408203632,0.751590662,0.787499764
5.4,0.407299772,0.761477143,0.790654801
5.46,0.408362672,0.763488798,0.794870878
5.52,0.408108786,0.764304606,0.798017664
5.58,0.407741906,0.764204531,0.802228609
5.64,0.410525234,0.760803324,0.804617037
5.7,0.410622737,0.760552663,0.805619457
5.76,0.411810697,0.762485238,0.807032174
5.82,0.41444843,0.778506975,0.809495733
5.88,0.413176216,0.783622075,0.812458877
5.94,0.413081897,0.785998827,0.815359548
6,0.416162583,0.786536793,0.817891396
6.06,0.411799107,0.785481608,0.823330695
6.12,0.413988179,0.782622201,0.82583749
6.18,0.416649998,0.782603375,0.830477163
6.24,0.415057271,0.783504025,0.832390714
6.3,0.418088874,0.791023983,0.835683129
6.36,0.420662628,0.800768453,0.838079396
6.42,0.417656263,0.803802922,0.841781436
6.48,0.421265934,0.80454774,0.844966296
6.54,0.418983769,0.804610758,0.849010215
6.6,0.41702934,0.803171299,0.850911029
6.66,0.422989394,0.801659042,0.853888016
6.72,0.421642277,0.801251501,0.856401369
6.78,0.422097367,0.804641009,0.857773754
6.84,0.42360969,0.815799013,0.860260139
6.9,0.422740645,0.818002266,0.861412927
6.96,0.422756977,0.818682175,0.863294943
7.02,0.425314564,0.819267643,0.863779042
7.08,0.423825203,0.81760324,0.867018449
7.14,0.426804212,0.814293374,0.868631267
