Oscillation Type,U_Spout (U/Umf),f_gas (hz),H*
added,15,0.5,45.45454545
added,20,0.5,45.45454545
induced,25,0.5,45.45454545
induced,30,0.5,45.45454545
induced,35,0.5,45.45454545
induced,40,0.5,45.45454545
induced,15,1,45.45454545
induced,20,1,45.45454545
induced,25,1,45.45454545
induced,30,1,45.45454545
induced,35,1,45.45454545
induced,40,1,45.45454545
induced,15,2,45.45454545
induced,20,2,45.45454545
induced,25,2,45.45454545
induced,30,2,45.45454545
induced,35,2,45.45454545
induced,40,2,45.45454545
induced,15,3,45.45454545
induced,20,3,45.45454545
induced,25,3,45.45454545
induced,30,3,45.45454545
induced,35,3,45.45454545
induced,40,3,45.45454545
induced,15,4,45.45454545
induced,20,4,45.45454545
induced,25,4,45.45454545
induced,30,4,45.45454545
induced,35,4,45.45454545
induced,40,4,45.45454545
induced,15,5,45.45454545
induced,20,5,45.45454545
induced,25,5,45.45454545
induced,30,5,45.45454545
induced,35,5,45.45454545
none,40,5,45.45454545
added,15,6,45.45454545
induced,20,6,45.45454545
induced,25,6,45.45454545
induced,30,6,45.45454545
none,35,6,45.45454545
none,40,6,45.45454545
added,15,7,45.45454545
added,20,7,45.45454545
induced,25,7,45.45454545
induced,30,7,45.45454545
none,35,7,45.45454545
none,40,7,45.45454545
added,15,8,45.45454545
added,20,8,45.45454545
induced,25,8,45.45454545
induced,30,8,45.45454545
none,35,8,45.45454545
none,40,8,45.45454545
added,15,9,45.45454545
added,20,9,45.45454545
induced,25,9,45.45454545
none,30,9,45.45454545
none,35,9,45.45454545
none,40,9,45.45454545
natural,15,10,45.45454545
natural,20,10,45.45454545
none,25,10,45.45454545
none,30,10,45.45454545
none,35,10,45.45454545
none,40,10,45.45454545
natural,15,11,45.45454545
natural,20,11,45.45454545
none,25,11,45.45454545
none,30,11,45.45454545
none,35,11,45.45454545
none,40,11,45.45454545
natural,15,None,45.45454545
natural,20,None,45.45454545
none,25,None,45.45454545
none,30,None,45.45454545
none,35,None,45.45454545
none,40,None,45.45454545
