Oscillation Type,U_Spout (U/Umf),f_gas (hz),H*
natural,20,None,68.18181818
induced,20,0.5,68.18181818
induced,20,1,68.18181818
induced,20,2,68.18181818
induced,20,3,68.18181818
induced,20,4,68.18181818
induced,20,5,68.18181818
added,20,6,68.18181818
added,20,7,68.18181818
added,20,8,68.18181818
natural,20,9,68.18181818
natural,20,10,68.18181818
natural,20,11,68.18181818
induced,20,0.5,90.90909091
induced,20,1,90.90909091
induced,20,2,90.90909091
induced,20,3,90.90909091
induced,20,4,90.90909091
added,20,5,90.90909091
added,20,6,90.90909091
added,20,7,90.90909091
natural,20,8,90.90909091
natural,20,9,90.90909091
none,20,10,90.90909091
none,20,11,90.90909091
none,20,None,90.90909091
induced,20,0.5,113.6363636
induced,20,1,113.6363636
induced,20,2,113.6363636
induced,20,3,113.6363636
induced,20,4,113.6363636
added,20,5,113.6363636
added,20,6,113.6363636
added,20,7,113.6363636
natural,20,8,113.6363636
natural,20,9,113.6363636
none,20,10,113.6363636
none,20,11,113.6363636
none,20,None,113.6363636
induced,20,0.5,136.3636364
induced,20,1,136.3636364
induced,20,2,136.3636364
induced,20,3,136.3636364
added,20,4,136.3636364
added,20,5,136.3636364
added,20,6,136.3636364
natural,20,7,136.3636364
natural,20,8,136.3636364
none,20,9,136.3636364
none,20,10,136.3636364
none,20,11,136.3636364
none,20,None,136.3636364
induced,20,0.5,34.09090909
induced,20,1,34.09090909
induced,20,2,34.09090909
induced,20,3,34.09090909
induced,20,4,34.09090909
induced,20,5,34.09090909
induced,20,6,34.09090909
induced,20,7,34.09090909
induced,20,8,34.09090909
induced,20,9,34.09090909
induced,20,10,34.09090909
none,20,11,34.09090909
none,20,None,34.09090909
added,20,0.5,45.45454545
induced,20,1,45.45454545
induced,20,2,45.45454545
induced,20,3,45.45454545
induced,20,4,45.45454545
induced,20,5,45.45454545
induced,20,6,45.45454545
added,20,7,45.45454545
added,20,8,45.45454545
added,20,9,45.45454545
natural,20,10,45.45454545
natural,20,11,45.45454545
natural,20,None,45.45454545
