time,theta_t,theta_t_fit
0.001,8.620544,-3.57372306
0.002,8.593512,-3.494339077
0.003,8.641282,-3.415914115
0.004,8.723823,-3.33845913
0.005,8.751808,-3.261984981
0.006,8.710592,-3.186502428
0.007,8.599513,-3.112022132
0.008,8.443931,-3.03855465
0.009,8.329995,-2.966110439
0.01,8.217765,-2.894699851
0.011,8.19143,-2.824333136
0.012,8.233092,-2.755020438
0.013,8.226123,-2.686771794
0.014,8.148399,-2.619597135
0.015,8.110351,-2.553506285
0.016,8.133885,-2.488508957
0.017,8.309095,-2.424614756
0.018,8.610203,-2.361833178
0.019,8.936542,-2.300173603
0.02,9.182898,-2.239645303
0.021,9.158121,-2.180257436
0.022,9.196564,-2.122019044
0.023,9.212271,-2.064939056
0.024,9.225528,-2.009026285
0.025,9.203918,-1.954289427
0.026,-1.519638,-1.900737062
0.027,-1.357494,-1.848377651
0.028,-1.500077,-1.797219536
0.029,-1.691274,-1.747270939
0.03,-1.881168,-1.698539964
0.031,-2.050705,-1.651034591
0.032,-2.16595,-1.604762679
0.033,-2.229637,-1.559731965
0.034,-2.267883,-1.515950063
0.035,-2.262468,-1.473424462
0.036,-2.259163,-1.432162527
0.037,-2.21045,-1.392171496
0.038,-2.152543,-1.353458482
0.039,-2.067871,-1.316030473
0.04,-1.850273,-1.279894327
0.041,-1.71487,-1.245056775
0.042,-1.443567,-1.21152442
0.043,-1.148725,-1.179303733
0.044,-0.721234,-1.148401058
0.045,-0.485055,-1.118822608
0.046,-0.274177,-1.090574465
0.047,-0.091803,-1.063662577
0.048,9.491752,-1.038092762
0.049,9.699119,-1.013870706
0.05,9.861629,-0.99100196
0.051,9.944025,-0.969491941
0.052,9.941462,-0.949345933
0.053,9.897995,-0.930569085
0.054,10.066037,-0.913166409
0.055,10.352157,-0.897142783
0.056,10.572015,-0.882502949
0.057,10.8557,-0.869251511
0.058,11.033215,-0.857392935
0.059,11.018327,-0.846931552
0.06,10.812601,-0.837871554
0.061,10.604564,-0.830216993
0.062,1.544149,-0.823971785
0.063,1.277093,-0.819139705
0.064,1.037846,-0.815724388
0.065,0.795902,-0.813729331
0.066,0.507625,-0.813157889
0.067,0.550359,-0.814013278
0.068,0.864027,-0.816298572
0.069,1.216203,-0.820016704
0.07,1.661864,-0.825170465
0.071,2.059806,-0.831762506
0.072,2.452805,-0.839795335
0.073,2.562681,-0.849271317
0.074,11.232553,-0.860192676
0.075,10.951237,-0.872561492
0.076,2.027953,-0.886379703
0.077,1.625398,-0.901649103
0.078,1.286306,-0.918371343
0.079,1.173805,-0.936547931
0.08,1.206278,-0.95618023
0.081,1.415167,-0.977269462
0.082,1.561342,-0.999816702
0.083,1.835048,-1.023822882
0.084,2.080886,-1.04928879
0.085,2.26312,-1.07621507
0.086,2.417796,-1.104602221
0.087,2.705377,-1.134450599
0.088,2.804061,-1.165760412
0.089,2.812738,-1.198531728
0.09,2.859436,-1.232764467
0.091,2.967862,-1.268458406
0.092,3.062246,-1.305613177
0.093,2.983592,-1.344228267
0.094,2.908004,-1.38430302
0.095,2.850734,-1.425836633
0.096,2.88563,-1.46882816
0.097,3.013219,-1.513276511
0.098,3.183746,-1.559180451
0.099,3.364513,-1.606538599
0.1,3.555768,-1.655349433
0.101,3.874267,-1.705611285
0.102,13.062596,-1.757322343
0.103,13.473529,-1.810480652
0.104,13.797689,-1.865084112
0.105,14.200937,-1.921130481
0.106,14.416214,-1.978617373
0.107,14.32106,-2.037542258
0.108,14.063468,-2.097902464
0.109,13.727086,-2.159695176
0.11,4.882941,-2.222917436
0.111,12.838562,-2.287566145
0.112,12.232883,-2.353638061
0.113,11.735228,-2.421129799
0.114,11.334977,-2.490037836
0.115,10.992941,-2.560358503
0.116,10.676401,-2.632087994
0.117,10.359105,-2.70522236
0.118,10.16193,-2.779757514
0.119,2.611347,-2.855689227
0.12,2.685863,-2.933013131
0.121,2.665534,-3.011724719
0.122,2.623814,-3.091819345
0.123,2.264094,-3.173292223
0.124,1.964991,-3.256138433
0.125,1.740479,-3.340352913
0.126,1.556875,-3.425930466
0.127,1.472698,-3.512865757
0.128,1.447021,-3.601153317
0.129,1.227492,-3.690787537
0.13,0.892252,-3.781762677
