time,theta_t,theta_t_fit
0.001,1.722128,0.831409251
0.002,1.952117,1.168096411
0.003,2.317656,1.50404709
0.004,2.780704,1.839049472
0.005,1.203138,2.172892338
0.006,3.644192,2.505365201
0.007,4.151634,2.836258439
0.008,4.863343,3.165363423
0.009,5.372548,3.492472655
0.01,5.659138,3.817379892
0.011,6.095106,4.139880282
0.012,6.209953,4.459770488
0.013,6.258853,4.776848822
0.014,6.171825,5.090915366
0.015,6.121041,5.401772101
0.016,6.060188,5.709223035
0.017,5.9837,6.013074318
0.018,5.922359,6.313134375
0.019,5.872892,6.609214019
0.02,6.093215,6.901126571
0.021,6.764973,7.188687982
0.022,6.978649,7.471716945
0.023,7.555124,7.750035011
0.024,7.893201,8.023466701
0.025,8.298204,8.291839618
0.026,8.696418,8.554984553
0.027,9.229069,8.812735593
0.028,5.739266,9.064930229
0.029,10.629857,9.31140945
0.03,11.286404,9.552017854
0.031,11.89708,9.786603737
0.032,12.543004,10.01501919
0.033,12.672541,10.23712021
0.034,12.902865,10.45276675
0.035,13.107928,10.66182284
0.036,13.164482,10.86415669
0.037,13.355821,11.05964072
0.038,13.473635,11.24815167
0.039,13.59493,11.4295707
0.04,13.811153,11.60378341
0.041,14.085652,11.77067997
0.042,14.277707,11.93015515
0.043,14.591404,12.0821084
0.044,14.927587,12.22644391
0.045,15.211022,12.36307068
0.046,15.375319,12.49190258
0.047,15.759224,12.61285836
0.048,15.983296,12.72586177
0.049,16.152346,12.83084155
0.05,16.253369,12.92773153
0.051,16.447114,13.01647061
0.052,16.590771,13.09700284
0.053,16.6563,13.16927745
0.054,16.763509,13.23324886
0.055,16.815376,13.28887675
0.056,16.802773,13.33612603
0.057,16.864783,13.37496693
0.058,16.860115,13.40537495
0.059,16.683124,13.42733091
0.06,16.447558,13.44082098
0.061,16.258412,13.44583665
0.062,16.189156,13.44237475
0.063,16.16389,13.43043748
0.064,16.145801,13.41003235
0.065,16.014216,13.38117223
0.066,15.856139,13.34387532
0.067,15.569254,13.29816514
0.068,15.112855,13.2440705
0.069,14.590327,13.18162551
0.07,14.244164,13.11086954
0.071,13.809482,13.0318472
0.072,13.268658,12.94460832
0.073,13.02054,12.8492079
0.074,12.76644,12.74570609
0.075,12.512757,12.63416814
0.076,12.174364,12.51466439
0.077,11.891591,12.38727018
0.078,11.512952,12.25206583
0.079,11.18503,12.10913658
0.08,10.998181,11.95857256
0.081,10.91802,11.80046869
0.082,11.132536,11.63492466
0.083,11.168993,11.46204483
0.084,11.392751,11.28193823
0.085,11.68992,11.09471839
0.086,11.959048,10.90050336
0.087,12.200742,10.69941559
0.088,12.429162,10.49158187
0.089,12.613775,10.27713324
0.09,12.710436,10.05620491
0.091,12.709242,9.828936164
0.092,12.546683,9.595470302
0.093,12.148677,9.355954522
0.094,11.566535,9.110539839
0.095,10.821243,8.859380986
0.096,10.069783,8.602636318
0.097,9.194533,8.340467711
0.098,8.587531,8.073040463
0.099,7.669507,7.800523184
0.1,6.361052,7.523087698
0.101,5.310804,7.240908925
0.102,4.373697,6.954164779
0.103,3.727712,6.663036052
0.104,3.374385,6.367706299
0.105,3.271776,6.068361724
0.106,3.510442,5.765191064
0.107,3.45442,5.458385468
0.108,3.659444,5.148138374
0.109,3.89009,4.834645393
0.11,4.117132,4.518104182
0.111,4.305694,4.198714318
0.112,4.343295,3.876677177
0.113,4.173456,3.552195801
0.114,3.841723,3.225474776
0.115,3.45276,2.896720098
0.116,3.03872,2.566139045
0.117,4.418434,2.233940049
0.118,4.417625,1.900332561
0.119,4.292296,1.565526917
0.12,4.216512,1.229734214
0.121,4.202591,0.893166166
0.122,3.44935,0.55603498
0.123,4.229779,0.218553215
0.124,4.201641,-0.119066348
0.125,4.119251,-0.456610839
0.126,3.897281,-0.793867438
0.127,3.722452,-1.130623506
0.128,3.108122,-1.466666719
0.129,2.357293,-1.801785203
0.13,1.470084,-2.135767666
0.131,0.561658,-2.468403534
0.132,-0.34561,-2.79948308
0.133,-1.107218,-3.12879756
0.134,-1.87175,-3.456139341
0.135,-6.515032,-3.781302036
0.136,-7.277426,-4.104080631
0.137,-7.713974,-4.424271614
0.138,-7.955814,-4.741673106
0.139,-8.047252,-5.056084986
0.14,-8.162046,-5.367309019
0.141,-8.213718,-5.675148978
0.142,-8.396833,-5.979410771
0.143,-8.574988,-6.279902563
0.144,-8.652028,-6.576434893
0.145,-8.597633,-6.868820799
0.146,-8.512842,-7.156875933
0.147,-8.479957,-7.440418676
0.148,-8.503124,-7.719270255
0.149,-8.373373,-7.993254857
0.15,-8.224398,-8.262199733
0.151,-7.879769,-8.525935314
0.152,-7.632382,-8.784295318
0.153,-2.937204,-9.037116847
0.154,-2.924661,-9.284240499
0.155,-3.005559,-9.525510463
0.156,-3.293331,-9.760774619
0.157,-3.706226,-9.989884634
0.158,-4.132997,-10.21269605
0.159,-4.539494,-10.4290684
0.16,-5.100286,-10.63886524
0.161,-10.673583,-10.84195431
0.162,-11.243986,-11.03820756
0.163,-11.795894,-11.22750125
0.164,-12.241313,-11.40971602
0.165,-12.745134,-11.58473701
0.166,-13.150407,-11.75245385
0.167,-13.374191,-11.9127608
0.168,-13.415438,-12.06555679
0.169,-13.374675,-12.21074547
0.17,-13.351283,-12.34823532
0.171,-13.227229,-12.47793964
0.172,-13.136089,-12.59977665
0.173,-12.906405,-12.71366954
0.174,-12.879019,-12.81954649
0.175,-12.595914,-12.91734075
0.176,-12.288897,-13.00699067
0.177,-11.980073,-13.08843972
0.178,-11.771598,-13.16163654
0.179,-11.742386,-13.22653498
0.18,-11.923456,-13.28309413
0.181,-12.289855,-13.33127833
0.182,-12.799525,-13.37105719
0.183,-13.328249,-13.40240564
0.184,-13.77491,-13.42530391
0.185,-14.195508,-13.43973756
0.186,-14.571135,-13.44569749
0.187,-14.951582,-13.44317995
0.188,-15.306273,-13.43218652
0.189,-15.50664,-13.41272414
0.19,-15.433066,-13.38480507
0.191,-15.122722,-13.34844691
0.192,-14.732619,-13.3036726
0.193,-14.359084,-13.25051036
0.194,-14.052333,-13.18899371
0.195,-13.777941,-13.11916143
0.196,-13.550773,-13.04105756
0.197,-13.19834,-12.95473134
0.198,-12.807134,-12.8602372
0.199,-12.478894,-12.75763471
0.2,-11.974679,-12.64698857
0.201,-11.510805,-12.52836853
0.202,-10.83946,-12.4018494
0.203,-10.390502,-12.26751093
0.204,-9.966877,-12.12543783
0.205,-9.571932,-11.97571968
0.206,-9.289952,-11.81845087
0.207,-9.288889,-11.65373056
0.208,-9.822231,-11.4816626
0.209,-10.303001,-11.30235549
0.21,-10.8058,-11.11592227
0.211,-11.678034,-10.9224805
0.212,-11.927819,-10.72215213
0.213,-11.97808,-10.51506347
0.214,-11.794087,-10.30134509
0.215,-11.504751,-10.08113175
