time,theta_t,theta_t_fit
0.001,6.604076,5.186066564
0.002,5.960071,5.210062938
0.003,5.62061,5.233893442
0.004,5.742759,5.257557316
0.005,5.684399,5.281053808
0.006,5.741204,5.30438217
0.007,5.494041,5.327541658
0.008,5.550079,5.350531536
0.009,5.953931,5.373351072
0.01,6.6282,5.395999539
0.011,7.500892,5.418476216
0.012,8.425732,5.440780387
0.013,9.295372,5.462911343
0.014,10.002418,5.484868378
0.015,10.465262,5.506650795
0.016,10.780157,5.528257899
0.017,10.887992,5.549689002
0.018,10.841602,5.570943422
0.019,10.603269,5.592020483
0.02,10.345635,5.612919513
0.021,9.950406,5.633639848
0.022,9.442929,5.654180827
0.023,8.917567,5.674541796
0.024,8.519503,5.694722108
0.025,7.983364,5.714721119
0.026,7.718168,5.734538193
0.027,7.834885,5.7541727
0.028,7.520641,5.773624014
0.029,7.068613,5.792891515
0.03,6.666254,5.811974591
0.031,6.410567,5.830872634
0.032,6.327863,5.849585043
0.033,5.984512,5.86811122
0.034,6.211643,5.886450577
0.035,6.512911,5.904602531
0.036,6.842986,5.922566502
0.037,7.356007,5.940341919
0.038,7.446232,5.957928216
0.039,7.723958,5.975324833
0.04,7.934037,5.992531217
0.041,8.120134,6.00954682
0.042,8.303723,6.026371099
0.043,8.50091,6.043003519
0.044,8.573033,6.059443552
0.045,8.523975,6.075690672
0.046,8.375605,6.091744364
0.047,8.187463,6.107604115
0.048,7.90427,6.123269422
0.049,7.635969,6.138739785
0.05,7.327756,6.154014712
0.051,7.02235,6.169093716
0.052,6.794816,6.183976318
0.053,6.596059,6.198662043
0.054,6.417427,6.213150425
0.055,6.307061,6.227441001
0.056,6.289943,6.241533317
0.057,6.320317,6.255426925
0.058,6.608873,6.269121381
0.059,6.762445,6.28261625
0.06,6.942925,6.295911103
0.061,7.156577,6.309005515
0.062,7.319632,6.321899071
0.063,7.24117,6.334591359
0.064,7.755354,6.347081976
0.065,7.917673,6.359370524
0.066,8.001338,6.371456611
0.067,8.179914,6.383339854
0.068,8.245054,6.395019873
0.069,8.167835,6.406496297
0.07,7.953575,6.41776876
0.071,7.645671,6.428836903
0.072,7.244925,6.439700375
0.073,6.840807,6.450358829
0.074,6.449834,6.460811926
0.075,6.152638,6.471059333
0.076,5.796873,6.481100724
0.077,5.521385,6.49093578
0.078,5.271461,6.500564186
0.079,5.468206,6.509985637
0.08,5.448212,6.519199832
0.081,5.440431,6.528206479
0.082,5.428927,6.537005291
0.083,5.418282,6.545595986
0.084,5.59934,6.553978293
0.085,5.828603,6.562151944
0.086,6.120122,6.570116679
0.087,6.441937,6.577872243
0.088,6.676236,6.585418392
0.089,6.994988,6.592754883
0.09,7.331249,6.599881484
0.091,7.692784,6.606797967
0.092,7.946367,6.613504113
0.093,8.077474,6.619999708
0.094,8.012132,6.626284546
0.095,7.56963,6.632358425
0.096,7.47628,6.638221153
0.097,7.471872,6.643872543
0.098,7.481884,6.649312415
0.099,7.414594,6.654540596
0.1,7.350566,6.659556919
0.101,7.36971,6.664361226
0.102,7.529915,6.668953362
0.103,7.836576,6.673333182
0.104,8.496969,6.677500546
0.105,8.775917,6.681455322
0.106,8.549371,6.685197383
0.107,8.516745,6.688726611
0.108,8.418603,6.692042892
0.109,8.309472,6.695146123
0.11,8.109275,6.698036203
0.111,7.773703,6.700713041
0.112,7.250879,6.703176551
0.113,6.629011,6.705426656
0.114,5.910116,6.707463283
0.115,5.445103,6.709286368
0.116,5.136007,6.710895852
0.117,5.351476,6.712291685
0.118,5.465653,6.713473821
0.119,5.797018,6.714442224
0.12,6.324443,6.715196862
0.121,6.975378,6.715737712
0.122,7.659106,6.716064755
0.123,8.293422,6.716177983
0.124,8.811895,6.716077391
0.125,9.103608,6.715762982
0.126,9.075809,6.715234767
0.127,8.527892,6.714492761
0.128,8.102713,6.71353699
0.129,7.546672,6.712367483
0.13,7.069185,6.710984277
0.131,6.593763,6.709387417
0.132,6.32745,6.707576953
0.133,6.297966,6.705552944
0.134,6.369601,6.703315452
0.135,6.404969,6.700864551
0.136,6.389429,6.698200317
0.137,6.359866,6.695322836
0.138,6.287209,6.692232198
0.139,6.235848,6.688928504
0.14,6.153881,6.685411857
0.141,6.03603,6.681682369
0.142,5.837023,6.67774016
0.143,5.589455,6.673585355
0.144,5.448951,6.669218087
0.145,5.32719,6.664638493
0.146,5.679007,6.65984672
0.147,5.794755,6.654842921
0.148,5.612809,6.649627255
0.149,5.676939,6.644199888
0.15,5.802032,6.638560992
0.151,5.843236,6.632710748
0.152,5.755177,6.626649341
0.153,5.570035,6.620376965
0.154,5.417983,6.613893819
0.155,5.263609,6.607200109
0.156,5.160441,6.600296049
0.157,4.969038,6.593181859
0.158,4.946319,6.585857764
0.159,5.499949,6.578323999
0.16,5.699878,6.570580802
0.161,6.050808,6.562628421
0.162,6.554619,6.554467109
0.163,7.032324,6.546097125
0.164,7.310167,6.537518737
0.165,6.920252,6.528732216
0.166,6.808504,6.519737843
0.167,6.437971,6.510535904
0.168,5.999043,6.501126692
0.169,5.530829,6.491510507
0.17,5.053159,6.481687655
0.171,4.570699,6.471658449
0.172,4.144295,6.461423207
0.173,3.807007,6.450982256
0.174,3.643392,6.440335927
0.175,3.699006,6.429484561
0.176,4.065945,6.418428503
0.177,4.648162,6.407168104
0.178,5.208937,6.395703723
0.179,5.859483,6.384035725
0.18,6.478373,6.372164481
0.181,7.122102,6.36009037
0.182,7.643807,6.347813776
0.183,8.014888,6.335335089
0.184,8.153761,6.322654707
0.185,8.106036,6.309773033
0.186,8.013292,6.296690479
0.187,7.791833,6.283407459
0.188,7.555769,6.269924398
0.189,7.288964,6.256241724
0.19,7.009691,6.242359873
0.191,6.691083,6.228279287
0.192,6.399292,6.214000414
0.193,6.193643,6.199523709
0.194,6.148383,6.184849632
0.195,7.014273,6.169978651
0.196,7.046301,6.15491124
0.197,7.02667,6.139647878
0.198,6.993034,6.12418905
0.199,6.98894,6.10853525
0.2,6.982957,6.092686974
0.201,7.01891,6.076644729
0.202,6.766815,6.060409025
0.203,6.906484,6.043980378
0.204,6.496324,6.027359312
0.205,6.249696,6.010546356
0.206,6.039652,5.993542044
0.207,5.922372,5.976346919
0.208,5.730519,5.958961528
0.209,5.38195,5.941386424
0.21,5.093082,5.923622167
0.211,4.778758,5.905669323
0.212,4.662472,5.887528462
0.213,4.72911,5.869200163
0.214,4.973723,5.850685009
0.215,5.433658,5.83198359
0.216,6.369761,5.8130965
0.217,6.774204,5.794024341
0.218,7.033329,5.774767721
0.219,7.229555,5.755327253
0.22,7.401436,5.735703554
0.221,7.438556,5.715897251
0.222,7.103822,5.695908973
0.223,6.859045,5.675739357
0.224,6.503499,5.655389046
0.225,6.122249,5.634858686
0.226,5.728327,5.614148933
0.227,5.347791,5.593260444
0.228,5.000496,5.572193885
0.229,4.727597,5.550949926
0.23,4.451044,5.529529245
0.231,4.97019,5.507932523
0.232,4.863855,5.486160447
0.233,4.876419,5.464213711
0.234,4.985287,5.442093013
0.235,5.179889,5.419799058
0.236,5.384177,5.397332555
0.237,5.557658,5.37469422
0.238,5.692265,5.351884774
0.239,5.782038,5.328904942
0.24,5.77888,5.305755456
0.241,5.767239,5.282437053
0.242,5.749436,5.258950475
0.243,5.667198,5.235296471
0.244,5.778856,5.211475794
0.245,5.793528,5.187489201
0.246,5.834474,5.163337456
0.247,4.211172,5.139021328
0.248,4.465839,5.114541592
0.249,4.813635,5.089899027
0.25,5.17573,5.065094417
0.251,5.509937,5.040128552
0.252,5.787279,5.015002226
0.253,6.052005,4.98971624
0.254,6.231831,4.964271399
0.255,6.201789,4.938668513
0.256,5.946961,4.912908397
0.257,5.6641,4.886991871
0.258,5.307464,4.86091976
0.259,4.974747,4.834692894
0.26,4.88527,4.808312108
0.261,4.608541,4.781778243
0.262,4.724723,4.755092142
0.263,4.99102,4.728254655
0.264,5.432167,4.701266637
0.265,5.995251,4.674128947
0.266,6.514493,4.646842449
0.267,7.253963,4.619408012
0.268,7.52019,4.591826509
0.269,7.751404,4.564098818
0.27,7.459195,4.536225822
0.271,7.27205,4.508208408
0.272,6.958899,4.480047468
0.273,6.543528,4.4517439
0.274,5.996748,4.423298603
0.275,5.345042,4.394712483
0.276,4.848364,4.365986452
0.277,4.556007,4.337121422
0.278,4.414863,4.308118314
0.279,4.626537,4.27897805
0.28,4.785929,4.249701558
0.281,5.225164,4.22028977
0.282,5.413691,4.190743623
0.283,5.7955,4.161064057
0.284,6.289606,4.131252018
0.285,6.800126,4.101308453
0.286,7.311373,4.071234317
0.287,7.814128,4.041030568
0.288,8.280213,4.010698165
0.289,8.60596,3.980238077
0.29,8.866883,3.949651271
0.291,8.901032,3.918938722
0.292,8.774295,3.888101407
0.293,8.55352,3.857140309
0.294,8.228251,3.826056413
0.295,7.770845,3.794850708
0.296,7.293215,3.763524189
0.297,6.741536,3.732077852
0.298,6.11347,3.700512698
0.299,5.512086,3.668829734
0.3,4.888669,3.637029966
0.301,4.415527,3.605114408
0.302,4.224571,3.573084075
0.303,4.116478,3.540939988
0.304,4.106497,3.50868317
0.305,4.124935,3.476314647
0.306,4.07624,3.443835451
0.307,4.025166,3.411246615
0.308,3.97132,3.378549176
0.309,3.905416,3.345744176
0.31,3.942003,3.31283266
0.311,4.023525,3.279815674
0.312,4.172472,3.24669427
0.313,4.301413,3.213469503
0.314,3.583202,3.18014243
0.315,3.80313,3.146714112
0.316,4.11018,3.113185614
0.317,4.525352,3.079558003
0.318,4.791704,3.045832349
0.319,4.966665,3.012009727
0.32,5.074162,2.978091213
0.321,4.989437,2.944077886
0.322,4.614222,2.909970831
0.323,4.082987,2.875771132
0.324,3.360533,2.841479878
0.325,2.669491,2.807098162
0.326,1.978533,2.772627077
0.327,1.415305,2.738067722
0.328,0.975142,2.703421195
0.329,0.853179,2.668688602
0.33,0.982744,2.633871046
0.331,1.305439,2.598969637
0.332,1.850439,2.563985486
0.333,2.540798,2.528919707
0.334,3.25933,2.493773416
0.335,3.929659,2.458547731
0.336,4.487856,2.423243775
0.337,4.911577,2.387862671
0.338,5.246412,2.352405546
0.339,5.447919,2.316873528
0.34,5.53653,2.28126775
0.341,5.48379,2.245589343
0.342,5.40957,2.209839445
0.343,5.096085,2.174019193
0.344,4.726004,2.138129728
0.345,4.435696,2.102172192
0.346,4.244566,2.066147731
0.347,4.109168,2.03005749
0.348,3.929713,1.99390262
0.349,3.662757,1.95768427
0.35,3.294305,1.921403595
0.351,2.934108,1.885061749
0.352,2.663217,1.848659889
0.353,2.449614,1.812199174
0.354,2.353874,1.775680765
0.355,2.293433,1.739105824
0.356,2.540472,1.702475516
0.357,2.481326,1.665791008
0.358,2.561125,1.629053466
0.359,2.636604,1.592264061
0.36,2.592243,1.555423964
0.361,2.254024,1.518534347
0.362,2.151766,1.481596386
0.363,1.994589,1.444611256
0.364,1.731251,1.407580134
0.365,1.415835,1.3705042
0.366,1.497633,1.333384634
0.367,1.318784,1.296222617
0.368,1.298108,1.259019333
0.369,1.461624,1.221775967
0.37,1.823213,1.184493703
0.371,2.318397,1.147173729
0.372,2.628331,1.109817233
0.373,3.42028,1.072425404
0.374,4.291526,1.034999433
0.375,5.077101,0.997540512
0.376,5.679374,0.960049831
0.377,6.366913,0.922528587
0.378,6.458101,0.884977972
0.379,5.927258,0.847399183
0.38,5.418915,0.809793415
0.381,4.192717,0.772161866
0.382,3.566241,0.734505735
0.383,2.810656,0.696826219
0.384,1.959701,0.659124519
