time,theta_t
0.001,3.966039
0.002,3.872946
0.003,3.939869
0.004,4.049241
0.005,4.162343
0.006,4.170439
0.007,4.080757
0.008,4.055461
0.009,4.166141
0.01,4.36929
0.011,4.369158
0.012,4.429572
0.013,4.139479
0.014,3.706124
0.015,3.154366
0.016,2.63426
0.017,2.225704
0.018,1.915454
0.019,1.659185
0.02,1.451514
0.021,1.358802
0.022,1.407684
0.023,1.506453
0.024,1.78535
0.025,2.03892
0.026,2.250029
0.027,2.266008
0.028,2.114717
0.029,1.772863
0.03,1.34302
0.031,0.84862
0.032,0.341562
0.033,-0.073343
0.034,-0.363372
0.035,-0.519709
0.036,-0.56394
0.037,-0.427531
0.038,-0.457163
0.039,-0.378064
0.04,-0.294619
0.041,-0.259516
0.042,-0.183228
0.043,0.122841
0.044,0.237962
0.045,0.353871
0.046,0.478852
0.047,0.591331
0.048,0.680744
0.049,0.582627
0.05,0.27318
0.051,0.22181
0.052,0.162988
0.053,0.357805
0.054,0.459648
0.055,0.592563
0.056,0.582696
0.057,0.486094
0.058,0.297693
0.059,0.576051
0.06,0.731648
0.061,1.046437
0.062,1.430571
0.063,1.777442
0.064,1.97384
0.065,1.917517
0.066,1.746619
0.067,1.62985
0.068,1.522572
0.069,1.493915
0.07,1.454482
0.071,1.383364
0.072,1.225367
0.073,0.983392
0.074,0.796492
0.075,0.789182
0.076,0.897608
0.077,1.083509
0.078,1.290986
0.079,1.460505
0.08,1.535888
0.081,1.5692
0.082,1.484488
0.083,1.345659
0.084,1.282491
0.085,1.26752
0.086,1.199038
0.087,1.122121
0.088,1.045049
0.089,0.947012
0.09,0.799399
0.091,0.684511
0.092,0.587942
0.093,0.542691
0.094,0.516742
0.095,0.461296
0.096,0.450428
0.097,0.427867
0.098,0.415433
0.099,0.468256
0.1,0.624895
0.101,0.859422
0.102,1.184335
0.103,1.548844
0.104,1.913237
0.105,2.214286
0.106,2.413967
0.107,2.484984
0.108,2.450839
0.109,2.288565
0.11,1.986037
0.111,1.612354
0.112,1.055186
0.113,0.379853
0.114,0.045378
0.115,-0.27255
0.116,-0.440748
0.117,-0.446195
0.118,-0.357479
0.119,-0.227305
0.12,-0.102435
0.121,-0.075557
0.122,0.06052
0.123,0.182757
0.124,0.136526
0.125,0.05546
0.126,0.023214
0.127,-0.152807
0.128,-0.331768
0.129,-0.3477
0.13,-0.353893
0.131,-0.285492
0.132,-0.087807
