x,x/w,v_x_combined_0,v_y_combined_0,v_x_combined_0.5pi,v_y_combined_0.5pi,v_x_combined_pi,v_y_combined_pi,v_x_combined_1.5pi,v_y_combined_1.5pi,v_x_combined_2pi,v_y_combined_2pi
0.002,0.013333333,0.000111,-0.000087,-0.000061,-0.00226,-0.00055,-0.000674,0.000196,0.001006,0.000058,-0.001179
0.004,0.026666667,0.000147,-0.000008,-0.000046,-0.002035,-0.000568,-0.000662,0.000414,0.001111,0.000061,-0.000987
0.006,0.04,0.000126,0.000088,-0.00009,-0.001844,-0.000667,-0.000702,0.000917,0.001329,0.000112,-0.000811
0.008,0.053333333,0.000103,0.000134,-0.000164,-0.001768,-0.000789,-0.000703,0.001808,0.001665,0.000124,-0.000755
0.01,0.066666667,0.000077,0.000203,-0.000316,-0.00164,-0.000869,-0.000633,0.00317,0.001891,0.000111,-0.000801
0.012,0.08,0.000013,0.000157,-0.000408,-0.001601,-0.000824,-0.00079,0.005048,0.0017,0.000138,-0.000654
0.014,0.093333333,-0.000061,0.000025,-0.00035,-0.00164,-0.000581,-0.000983,0.007607,0.001076,0.000175,-0.000515
0.016,0.106666667,-0.000061,-0.000021,-0.000231,-0.001671,-0.00007,-0.001156,0.011276,-0.000153,0.00012,-0.000493
0.018,0.12,-0.000076,-0.000061,-0.000085,-0.001665,0.000626,-0.001577,0.015943,-0.002146,-0.000044,-0.000463
0.02,0.133333333,-0.000027,-0.000112,-0.000023,-0.001619,0.001713,-0.002462,0.021343,-0.004838,-0.000171,-0.000486
0.022,0.146666667,0.000137,-0.000164,-0.000018,-0.001638,0.003147,-0.003845,0.027138,-0.00787,-0.000247,-0.00063
0.024,0.16,0.00017,-0.000189,0.000019,-0.001701,0.004867,-0.005646,0.033039,-0.011161,-0.00025,-0.000847
0.026,0.173333333,0.000129,-0.000049,0.000006,-0.001724,0.007382,-0.007732,0.037946,-0.014931,-0.000192,-0.001182
0.028,0.186666667,0.000092,0.000174,0.000014,-0.001708,0.010127,-0.009985,0.041224,-0.018705,-0.000028,-0.001757
0.03,0.2,0.000152,0.000273,-0.000003,-0.00174,0.013191,-0.012685,0.043735,-0.021255,0.000291,-0.002397
0.032,0.213333333,0.00034,0.00019,0.000019,-0.0018,0.016644,-0.015789,0.045741,-0.023363,0.000782,-0.003095
0.034,0.226666667,0.000547,-0.000093,0.000049,-0.001814,0.019892,-0.018959,0.047653,-0.025789,0.001493,-0.003776
0.036,0.24,0.001042,-0.0006,0.000158,-0.001907,0.02397,-0.022103,0.049163,-0.028881,0.002534,-0.004332
0.038,0.253333333,0.002223,-0.001687,0.000327,-0.002085,0.028862,-0.026178,0.05043,-0.032385,0.004141,-0.005178
0.04,0.266666667,0.004084,-0.003819,0.000582,-0.002319,0.033225,-0.030377,0.051573,-0.035982,0.006579,-0.006874
0.042,0.28,0.006533,-0.007564,0.000977,-0.002669,0.037296,-0.033839,0.051185,-0.041537,0.01005,-0.010109
0.044,0.293333333,0.009824,-0.013341,0.001375,-0.003063,0.041094,-0.03798,0.047967,-0.048837,0.014418,-0.015449
0.046,0.306666667,0.014148,-0.021146,0.001834,-0.003527,0.044533,-0.043187,0.041383,-0.056387,0.019231,-0.023258
0.048,0.32,0.018929,-0.029928,0.002255,-0.004024,0.048407,-0.04886,0.032172,-0.062947,0.023881,-0.032851
0.05,0.333333333,0.022794,-0.035953,0.002655,-0.004728,0.053567,-0.054647,0.021089,-0.066426,0.027346,-0.041484
0.052,0.346666667,0.022893,-0.031865,0.002918,-0.0061,0.059173,-0.060527,0.006904,-0.06616,0.027754,-0.043695
0.054,0.36,0.014471,-0.006836,0.002839,-0.008227,0.064434,-0.065885,-0.009536,-0.059021,0.021808,-0.028595
0.056,0.373333333,-0.008295,0.053283,0.002141,-0.011147,0.067557,-0.070482,-0.026804,-0.040299,0.004571,0.017599
0.058,0.386666667,-0.050451,0.161965,0.000928,-0.015153,0.068026,-0.074917,-0.050998,0.002243,-0.029963,0.108182
0.06,0.4,-0.113093,0.322087,-0.000911,-0.020228,0.066905,-0.0784,-0.092708,0.079648,-0.084516,0.25114
0.062,0.413333333,-0.186264,0.510072,-0.003506,-0.0257,0.06402,-0.079659,-0.159136,0.193213,-0.153277,0.430008
0.064,0.426666667,-0.254683,0.665649,-0.005847,-0.028882,0.058832,-0.07835,-0.247928,0.335152,-0.225134,0.597722
0.066,0.44,-0.298399,0.723698,-0.005431,-0.024249,0.051716,-0.074961,-0.341302,0.479048,-0.281897,0.698096
0.068,0.453333333,-0.29786,0.66477,0.002298,-0.003532,0.04486,-0.069471,-0.405715,0.586028,-0.291356,0.702274
0.07,0.466666667,-0.256394,0.50976,0.023931,0.043658,0.042143,-0.056843,-0.425006,0.620062,-0.256871,0.583705
0.072,0.48,-0.189832,0.322759,0.068379,0.12525,0.048646,-0.028252,-0.39607,0.563242,-0.196524,0.394382
0.074,0.493333333,-0.124865,0.163013,0.139709,0.23928,0.0715,0.029191,-0.323196,0.438371,-0.135106,0.208697
0.076,0.506666667,-0.076787,0.051431,0.228884,0.371448,0.118185,0.130894,-0.230585,0.285457,-0.084673,0.070164
0.078,0.52,-0.048984,-0.016557,0.324869,0.497445,0.190332,0.284865,-0.146213,0.146068,-0.053716,-0.015576
0.08,0.533333333,-0.040176,-0.05254,0.415618,0.572277,0.276649,0.474809,-0.085888,0.043938,-0.0414,-0.058758
0.082,0.546666667,-0.04437,-0.06888,0.48077,0.593152,0.334881,0.657812,-0.049571,-0.018014,-0.042155,-0.076793
0.084,0.56,-0.056222,-0.075427,0.511294,0.56511,0.344514,0.77025,-0.031491,-0.047823,-0.051243,-0.083705
0.086,0.573333333,-0.069495,-0.077691,0.500733,0.498487,0.310735,0.758043,-0.024902,-0.055801,-0.064479,-0.087298
0.088,0.586666667,-0.080191,-0.078675,0.459659,0.416046,0.242656,0.639634,-0.023629,-0.052232,-0.077355,-0.089767
0.09,0.6,-0.087649,-0.078418,0.410428,0.329852,0.163495,0.452359,-0.02368,-0.045552,-0.085614,-0.090292
0.092,0.613333333,-0.09168,-0.075698,0.358735,0.245387,0.091689,0.26022,-0.023363,-0.039211,-0.088723,-0.089834
0.094,0.626666667,-0.091724,-0.070665,0.299018,0.166534,0.036692,0.112635,-0.022051,-0.033823,-0.087762,-0.088134
0.096,0.64,-0.088925,-0.066061,0.230749,0.096714,0.002371,0.020974,-0.020153,-0.028853,-0.084031,-0.084173
0.098,0.653333333,-0.085544,-0.062694,0.161523,0.044011,-0.014637,-0.023909,-0.017776,-0.024044,-0.078679,-0.078514
0.1,0.666666667,-0.081266,-0.060143,0.103299,0.009923,-0.020473,-0.038115,-0.014867,-0.019401,-0.072117,-0.071244
