phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.785398163,-9.407537,-8.454749649,-0.783720553,-8.950227,-7.174226,-0.785398163,-0.454959,-5.211474
-0.782256571,-9.3128,-8.550827645,-0.77915896,-9.083996,-7.208185,-0.760265422,-0.712551,-5.332494
-0.779114978,-9.344491,-8.647836828,-0.774597368,-9.218735,-7.241994,-0.735132681,-1.2094,-5.450146
-0.775973385,-9.478762,-8.745770106,-0.770038917,-9.364301,-7.275653,-0.70999994,-1.660171,-5.564357
-0.772831793,-9.679876,-8.844620285,-0.765477324,-9.492297,-7.309159,-0.684867198,-2.022978,-5.675054
-0.7696902,-9.906905,-8.944380076,-0.760915732,-9.63214,-7.342514,-0.659734457,-7.396223,-5.782167
-0.766548607,-10.154271,-9.045042088,-0.756354139,-9.754198,-7.375716,-0.634601716,-7.690875,-5.885629
-0.763407015,-10.494764,-9.146598837,-0.751792547,-9.833627,-7.408765,-0.609468975,-2.510026,-5.985375
-0.760265422,-10.900579,-9.249042738,-0.747234096,-9.82303,-7.441659,-0.584336234,-2.545529,-6.081342
-0.75712383,-11.459923,-9.352366114,-0.742672503,-9.705807,-7.474399,-0.559203492,-2.567725,-6.173468
-0.753982237,-11.95513,-9.456561189,-0.738110911,-9.7452,-7.506983,-0.534070751,-2.574073,-6.261696
-0.750840644,-12.460694,-9.561620095,-0.733549318,-9.761143,-7.539411,-0.50893801,-2.818092,-6.34597
-0.747699052,-12.944806,-9.66753487,-0.728987726,-9.738316,-7.571682,-0.483805269,-2.862951,-6.426236
-0.744557459,-13.270496,-9.774297456,-0.724429275,-9.760625,-7.603795,-0.458672527,-2.849841,-6.502445
-0.741415866,-13.460464,-9.881899707,-0.719867682,-9.58318,-7.63575,-0.433539786,-2.928953,-6.574548
-0.738274274,-13.41895,-9.99033338,-0.71530609,-9.637004,-7.667547,-0.408407045,-2.925389,-6.642499
-0.735132681,-13.421234,-10.09959015,-0.710744497,-9.416988,-7.699183,-0.383274304,-2.867626,-6.706256
-0.731991088,-13.303546,-10.20966158,-0.706182905,-9.323564,-7.73066,-0.358141563,-2.623436,-6.765778
-0.728849496,-13.094741,-10.32053917,-0.701624454,-9.420288,-7.761976,-0.333008821,-2.574047,-6.821028
-0.725707903,-12.8877,-10.43221432,-0.697062861,-9.533424,-7.79313,-0.30787608,-2.489745,-6.871971
-0.72256631,-12.653155,-10.54467834,-0.692501269,-9.719415,-7.824122,-0.282743339,-2.306766,-6.918574
-0.719424718,-12.338883,-10.65792246,-0.687939676,-9.929665,-7.854951,-0.257610598,-7.089281,-6.960808
-0.716283125,-12.198842,-10.7719378,-0.683378084,-10.095951,-7.885617,-0.232477856,-2.129089,-6.998647
-0.713141532,-12.192563,-10.88671542,-0.678819633,-9.625055,-7.916119,-0.207345115,-2.165165,-7.032067
-0.70999994,-12.281638,-11.0022463,-0.67425804,-9.622459,-7.946456,-0.182212374,-6.976149,-7.061046
-0.706858347,-12.405312,-11.1185213,-0.669696448,-9.35919,-7.976627,-0.157079633,-7.113627,-7.085567
-0.703716754,-12.555929,-11.23553123,-0.665134855,-8.989096,-8.006633,-0.131946891,-7.355396,-7.105613
-0.700575162,-12.804982,-11.35326681,-0.660573262,-8.640192,-8.036472,-0.10681415,-7.590666,-7.121173
-0.697433569,-13.122359,-11.47171867,-0.656014812,-8.234726,-8.066144,-0.081681409,-7.761238,-7.132235
-0.694291976,-13.53035,-11.59087736,-0.651453219,-7.891782,-8.095648,-0.056548668,-8.075554,-7.138794
-0.691150384,-13.908041,-11.71073336,-0.646891626,-7.534684,-8.124984,-0.031415927,-8.103511,-7.140846
-0.688008791,-14.430919,-11.83127705,-0.642330034,-7.252099,-8.15415,-0.006283185,-8.101714,-7.138388
