time,theta_t,theta_t_fit
0.001,-6.875839,-8.383361546
0.002,-6.477882,-8.399970382
0.003,-6.357506,-8.416347688
0.004,-6.211497,-8.432493045
0.005,-6.054065,-8.448406041
0.006,-5.854486,-8.464086268
0.007,-5.194123,-8.479533327
0.008,-4.439348,-8.494746825
0.009,-4.228335,-8.509726375
0.01,-4.150529,-8.524471596
0.011,-4.228081,-8.538982114
0.012,-4.425818,-8.553257561
0.013,-4.628631,-8.567297576
0.014,-4.795031,-8.581101805
0.015,-4.872602,-8.594669899
0.016,-4.825206,-8.608001517
0.017,-4.686273,-8.621096323
0.018,-4.414415,-8.633953989
0.019,-4.016989,-8.646574192
0.02,-3.65014,-8.658956618
0.021,-3.353911,-8.671100956
0.022,-3.116185,-8.683006904
0.023,-2.894962,-8.694674167
0.024,-2.61879,-8.706102454
0.025,-2.545473,-8.717291483
0.026,-2.213971,-8.728240978
0.027,-2.017569,-8.738950669
0.028,-1.993184,-8.749420292
0.029,-2.063481,-8.759649592
0.03,-2.088951,-8.769638318
0.031,-2.209028,-8.779386226
0.032,-2.212165,-8.788893081
0.033,-2.282653,-8.798158652
0.034,-2.517266,-8.807182716
0.035,-2.763904,-8.815965055
0.036,-3.586932,-8.824505459
0.037,-4.531796,-8.832803726
0.038,-5.199687,-8.840859657
0.039,-5.635751,-8.848673062
0.04,-5.926674,-8.856243759
0.041,-5.93033,-8.863571569
0.042,-5.996017,-8.870656323
0.043,-6.197922,-8.877497857
0.044,-5.600866,-8.884096014
0.045,-5.165563,-8.890450643
0.046,-4.669539,-8.8965616
0.047,-4.221949,-8.902428749
0.048,-3.88756,-8.90805196
0.049,-3.675186,-8.913431108
0.05,-3.518847,-8.918566078
0.051,-3.427241,-8.923456757
0.052,-3.405758,-8.928103043
0.053,-3.187257,-8.93250484
0.054,-3.172476,-8.936662056
0.055,-3.642231,-8.940574608
0.056,-3.676872,-8.944242419
0.057,-3.659458,-8.94766542
0.058,-3.605486,-8.950843546
0.059,-3.56423,-8.953776742
0.06,-3.467762,-8.956464956
0.061,-3.348979,-8.958908146
0.062,-3.359611,-8.961106274
0.063,-3.353207,-8.963059312
0.064,-3.470877,-8.964767235
