time,theta_t,theta_t_fit
0.01,-7.144149,-7.109159708
0.02,-7.007696,-7.004493811
0.03,-6.624361,-6.879936423
0.04,-6.272275,-6.735841265
0.05,-5.867775,-6.57261754
0.06,-5.73941,-6.390728775
0.07,-5.458986,-6.1906915
0.08,-5.331665,-5.973073785
0.09,-5.327194,-5.738493624
0.1,-5.492536,-5.487617184
0.11,-5.549962,-5.221156907
0.12,-4.955523,-4.939869492
0.13,-4.523927,-4.644553744
0.14,-4.209294,-4.336048307
0.15,-3.899036,-4.015229279
0.16,-3.692456,-3.68300773
0.17,-3.497999,-3.340327107
0.18,-3.390832,-2.988160561
0.19,-3.455468,-2.627508182
0.2,-3.458481,-2.259394157
0.21,-2.979445,-1.884863862
0.22,-2.5126,-1.504980896
0.23,-2.078423,-1.120824058
0.24,-1.629374,-0.733484283
0.25,-0.712919,-0.344061545
0.26,-0.423818,0.046338265
0.27,-0.373892,0.436606482
0.28,-0.386005,0.825634817
0.29,-0.101867,1.212318498
0.3,0.863842,1.595559415
0.31,1.367544,1.974269233
0.32,1.834223,2.347372484
0.33,2.352367,2.713809624
0.34,2.405401,3.072540037
0.35,2.443381,3.422544995
0.36,2.578023,3.762830545
0.37,2.621486,4.09243034
0.38,3.005695,4.410408376
0.39,3.315142,4.715861653
0.4,3.493563,5.007922738
0.41,3.803376,5.285762232
0.42,4.115029,5.548591121
0.43,4.605224,5.795663018
0.44,5.07204,6.026276285
0.45,5.366711,6.23977602
0.46,5.486775,6.435555925
0.47,5.633821,6.613060019
0.48,5.705403,6.771784222
0.49,5.837309,6.911277788
0.5,6.118374,7.03114458
0.51,6.427079,7.131044197
0.52,6.713402,7.210692944
0.53,6.978598,7.269864631
0.54,7.277292,7.308391222
0.55,7.257892,7.326163309
0.56,7.47275,7.323130423
0.57,8.021745,7.299301175
0.58,5.959376,7.254743236
0.59,5.920291,7.189583144
0.6,6.242406,7.104005941
0.61,6.497738,6.998254651
0.62,8.578947,6.872629588
0.63,8.494027,6.727487504
0.64,8.185057,6.563240577
0.65,8.037507,6.380355238
0.66,8.20762,6.179350849
0.67,8.14801,5.960798225
0.68,6.412226,5.725318016
0.69,5.971715,5.473578943
0.7,5.743856,5.206295899
0.71,6.265987,4.924227921
0.72,5.960962,4.628176029
0.73,5.77008,4.318980957
0.74,5.377899,3.997520763
0.75,5.178881,3.664708336
0.76,4.943035,3.321488802
0.77,4.487982,2.968836843
0.78,4.183134,2.607753927
0.79,3.450485,2.239265463
0.8,2.873053,1.864417891
0.81,2.472866,1.484275711
0.82,2.22392,1.099918457
0.83,1.996813,0.712437635
0.84,1.782385,0.322933619
0.85,1.370699,-0.06748747
0.86,1.063359,-0.457716907
0.87,0.794848,-0.84664651
0.88,0.293001,-1.233171792
0.89,-0.102824,-1.616195089
0.9,-0.476725,-1.994628686
0.91,-0.447517,-2.367397899
0.92,-0.549565,-2.733444132
0.93,-0.720439,-3.09172788
0.94,-0.827148,-3.441231682
0.95,-1.485509,-3.78096301
0.96,-1.72619,-4.10995709
0.97,-2.540467,-4.427279638
0.98,-3.337723,-4.732029515
0.99,-3.905302,-5.023341288
1,-4.110036,-5.300387683
1.01,-4.310202,-5.56238194
1.02,-4.470439,-5.808580041
1.03,-4.675825,-6.03828283
1.04,-4.662954,-6.250837991
1.05,-5.198891,-6.445641907
1.06,-5.623133,-6.62214137
1.07,-6.612912,-6.779835154
1.08,-6.639716,-6.918275437
1.09,-6.690967,-7.037069073
1.1,-6.984724,-7.135878711
1.11,-7.236944,-7.214423748
1.12,-7.169151,-7.272481132
1.13,-7.219454,-7.309885989
1.14,-6.86241,-7.326532097
1.15,-7.451801,-7.322372184
1.16,-7.923065,-7.297418063
1.17,-8.095299,-7.2517406
1.18,-8.440665,-7.185469509
1.19,-6.799351,-7.09879299
1.2,-7.256269,-6.991957187
1.21,-9.194568,-6.865265495
1.22,-9.130728,-6.719077695
1.23,-7.355781,-6.553808934
1.24,-7.256308,-6.369928546
1.25,-6.982604,-6.167958717
1.26,-8.181268,-5.948473004
1.27,-6.457378,-5.712094709
1.28,-6.184424,-5.459495101
1.29,-6.054854,-5.191391518
1.3,-6.09865,-4.908545325
1.31,-5.945374,-4.611759755
1.32,-5.819781,-4.301877624
1.33,-5.465189,-3.979778942
1.34,-5.054632,-3.64637841
1.35,-4.33809,-3.302622825
1.36,-3.375781,-2.949488391
1.37,-2.981415,-2.587977946
1.38,-3.373082,-2.219118113
1.39,-2.44023,-1.843956387
1.4,-2.255478,-1.463558159
1.41,-2.077246,-1.079003693
1.42,-1.71945,-0.691385051
1.43,-1.973562,-0.301803002
1.44,-1.486758,0.088636113
1.45,-0.93074,0.478823518
1.46,-0.657204,0.867651151
1.47,-0.513534,1.254014812
1.48,-0.219115,1.636817298
1.49,0.020452,2.014971521
1.5,0.712564,2.38740359
1.51,1.103834,2.753055867
1.52,1.525917,3.110889964
1.53,2.092864,3.459889699
1.54,2.683196,3.799063975
1.55,3.165342,4.127449599
1.56,3.582894,4.444114016
1.57,3.846005,4.748157955
1.58,4.025474,5.038717988
1.59,4.510937,5.314968976
1.6,4.779837,5.576126417
1.61,4.743609,5.821448672
1.62,5.247414,6.050239068
1.63,4.252582,6.261847885
1.64,4.290846,6.45567419
1.65,4.479903,6.631167552
1.66,6.587376,6.787829602
1.67,7.017803,6.925215448
1.68,7.175944,7.042934939
1.69,7.163164,7.140653774
1.7,7.411648,7.218094448
1.71,7.688571,7.275037045
1.72,7.619358,7.311319856
1.73,7.246977,7.326839847
1.74,7.080773,7.321552942
1.75,7.181279,7.295474156
1.76,7.116622,7.248677548
1.77,7.076439,7.181296011
1.78,6.865471,7.093520898
1.79,6.895699,6.985601472
1.8,6.625805,6.857844207
1.81,6.581433,6.710611909
1.82,6.405982,6.544322691
1.83,6.569189,6.359448785
1.84,6.876185,6.156515198
1.85,6.769751,5.936098226
1.86,6.879815,5.698823813
1.87,6.782693,5.445365774
1.88,6.242971,5.176443886
1.89,5.809285,4.892821836
