x_exp,v_x_exp,v_y_exp,x_sim,v_x_sim,v_y_sim
0.002,-0.000017,-0.000074,0.003333,-0.000003,0
0.004,-0.000044,-0.000031,0.006667,0.000006,0.000011
0.006,-0.000094,0.000014,0.01,0.000021,0.000022
0.008,-0.000155,0.00004,0.013333,0.000025,0.00002
0.01,-0.00021,0.000032,0.016667,0.000012,0
0.012,-0.00022,-0.000043,0.02,0.000023,0.000001
0.014,-0.000157,-0.000205,0.023333,0.000055,-0.000052
0.016,0.000011,-0.000471,0.026667,0.000119,-0.000173
0.018,0.000342,-0.00085,0.03,0.000259,-0.000452
0.02,0.000888,-0.001362,0.033333,0.000688,-0.000885
0.022,0.001696,-0.002015,0.036667,0.001978,-0.00242
0.024,0.002829,-0.002823,0.04,0.005824,-0.007098
0.026,0.004354,-0.003745,0.043333,0.014696,-0.016026
0.028,0.006293,-0.00478,0.046667,0.026187,-0.029241
0.03,0.008668,-0.006006,0.05,0.038658,-0.042729
0.032,0.011513,-0.007447,0.053333,0.049221,-0.052811
0.034,0.014953,-0.009151,0.056667,0.057289,-0.059635
0.036,0.019129,-0.011155,0.06,0.06162,-0.061122
0.038,0.023985,-0.013457,0.063333,0.057466,-0.048739
0.04,0.02943,-0.016075,0.066667,0.040808,-0.0007
0.042,0.035366,-0.019008,0.07,0.028288,0.130704
0.044,0.041631,-0.022519,0.073333,0.009487,0.587725
0.046,0.04807,-0.026846,0.076667,-0.001916,0.744142
0.048,0.05433,-0.03198,0.08,-0.01057,0.58776
0.05,0.059866,-0.038179,0.083333,-0.034076,0.144259
0.052,0.064006,-0.045749,0.086667,-0.042953,0.002776
0.054,0.066087,-0.054688,0.09,-0.058533,-0.048275
0.056,0.065419,-0.064579,0.093333,-0.062555,-0.061753
0.058,0.061717,-0.073995,0.096667,-0.058506,-0.060245
0.06,0.055321,-0.079204,0.1,-0.050722,-0.054011
0.062,0.047053,-0.072844,0.103333,-0.039944,-0.043068
0.064,0.038164,-0.043036,0.106667,-0.027441,-0.029763
0.066,0.030034,0.026342,0.11,-0.01533,-0.017054
0.068,0.023522,0.151534,0.113333,-0.006769,-0.00817
0.07,0.018398,0.337242,0.116667,-0.002259,-0.002535
0.072,0.012599,0.557866,0.12,-0.000747,-0.000922
0.074,0.003885,0.746926,0.123333,-0.000336,-0.000497
0.076,-0.008157,0.824457,0.126667,-0.000189,-0.000342
0.078,-0.021301,0.753105,0.13,-0.000087,-0.000219
0.08,-0.031558,0.562969,0.133333,-0.00002,-0.000119
0.082,-0.036915,0.335058,0.136667,-0.000016,-0.00004
0.084,-0.039887,0.14208,0.14,-0.000027,-0.000008
0.086,-0.043265,0.013266,0.143333,-0.000009,-0.000012
0.088,-0.047418,-0.055911,0.146667,0.000008,-0.00001
0.09,-0.051543,-0.083048,0.15,-0.000002,0.000006
0.092,-0.054745,-0.085954,,,
0.094,-0.056344,-0.077769,,,
0.096,-0.056054,-0.066395,,,
0.098,-0.053925,-0.055556,,,
0.1,-0.050194,-0.046322,,,
0.102,-0.045238,-0.038675,,,
0.104,-0.03962,-0.032149,,,
0.106,-0.033793,-0.02651,,,
0.108,-0.028134,-0.021721,,,
0.11,-0.022867,-0.017696,,,
0.112,-0.018157,-0.014369,,,
0.114,-0.014071,-0.011552,,,
0.116,-0.010656,-0.009132,,,
0.118,-0.007893,-0.007065,,,
0.12,-0.005641,-0.005322,,,
0.122,-0.003853,-0.003886,,,
0.124,-0.002505,-0.002722,,,
0.126,-0.001497,-0.001789,,,
0.128,-0.000759,-0.001061,,,
0.13,-0.000262,-0.000532,,,
0.132,0.000048,-0.000174,,,
0.134,0.000201,0.000045,,,
0.136,0.000243,0.000152,,,
0.138,0.000222,0.000179,,,
0.14,0.000175,0.000164,,,
0.142,0.000121,0.000129,,,
0.144,0.000069,0.000086,,,
0.146,0.000029,0.000045,,,
0.148,0.000002,0.000011,,,
0.15,-0.000016,-0.00001,,,
