time,theta_t,theta_t_fit
0.001,5.933249,6.014963949
0.002,5.942986,5.781022164
0.003,5.42571,5.546167791
0.004,4.988297,5.310437905
0.005,4.705824,5.073869717
0.006,4.465703,4.836500573
0.007,4.010438,4.598367942
0.008,3.57277,4.359509416
0.009,3.313123,4.119962702
0.01,2.993994,3.879765614
0.011,2.757057,3.638956069
0.012,2.594138,3.397572081
0.013,2.448997,3.155651756
0.014,2.240388,2.913233281
0.015,1.964297,2.670354926
0.016,1.635021,2.427055031
0.017,1.325424,2.183372003
0.018,1.060662,1.93934431
0.019,0.792253,1.695010473
0.02,0.39184,1.450409064
0.021,-0.155531,1.205578693
0.022,-0.758935,0.960558012
0.023,2.125799,0.715385697
0.024,1.716788,0.470100452
0.025,1.367935,0.224740997
0.026,1.122384,-0.020653935
0.027,0.85106,-0.266045606
0.028,0.53684,-0.51139528
0.029,0.251746,-0.756664226
0.03,-0.102077,-1.001813725
0.031,-0.418355,-1.246805078
0.032,-0.579108,-1.491599612
0.033,-0.624915,-1.736158683
0.034,-0.790562,-1.980443686
0.035,-0.89351,-2.224416057
0.036,-1.217069,-2.468037284
0.037,-1.521107,-2.711268908
0.038,-1.820002,-2.954072533
0.039,-2.124775,-3.196409832
0.04,-2.30926,-3.438242547
0.041,-2.763271,-3.679532504
0.042,-3.120083,-3.920241613
0.043,-3.433535,-4.160331876
0.044,-3.706848,-4.399765392
0.045,-3.963387,-4.638504365
0.046,-4.218615,-4.876511107
0.047,-4.458809,-5.113748047
0.048,-4.556609,-5.350177735
0.049,-4.648428,-5.585762849
0.05,-4.67463,-5.820466198
0.051,-4.675809,-6.054250733
0.052,-4.58457,-6.287079548
0.053,-4.597601,-6.518915891
0.054,-4.640634,-6.749723162
0.055,-4.693237,-6.979464928
0.056,-4.861527,-7.208104921
0.057,-5.106446,-7.435607048
0.058,-5.440931,-7.661935397
0.059,-5.827229,-7.887054238
0.06,-6.198786,-8.110928035
0.061,-6.5082,-8.333521448
0.062,-6.78742,-8.554799338
0.063,-7.169863,-8.774726773
0.064,-7.62404,-8.993269038
0.065,-7.917427,-9.210391632
0.066,-8.212672,-9.426060282
0.067,-8.360941,-9.64024094
0.068,-8.537129,-9.852899799
0.069,-8.713878,-10.06400329
0.07,-8.885089,-10.27351808
0.071,-8.985741,-10.4814111
0.072,-9.014659,-10.68764954
0.073,-8.946926,-10.89220083
0.074,-8.831929,-11.09503268
0.075,-8.834609,-11.29611309
0.076,-8.817113,-11.4954103
0.077,-8.839791,-11.69289285
0.078,-8.898655,-11.88852957
0.079,-8.915389,-12.08228958
0.08,-9.116655,-12.27414229
0.081,-9.254241,-12.46405741
0.082,-9.606122,-12.65200497
0.083,-10.0291,-12.83795529
0.084,-15.653475,-13.02187902
0.085,-16.097684,-13.20374712
0.086,-16.535768,-13.3835309
0.087,-16.904105,-13.56120196
0.088,-17.142503,-13.73673226
0.089,-11.866971,-13.91009409
0.09,-11.849665,-14.08126009
0.091,-11.868144,-14.25020322
0.092,-11.892255,-14.41689684
0.093,-11.682624,-14.58131461
0.094,-11.402794,-14.74343059
0.095,-11.112596,-14.90321918
0.096,-10.805032,-15.06065516
0.097,-10.656406,-15.21571368
0.098,-10.42462,-15.36837026
0.099,-10.331386,-15.5186008
0.1,-10.256469,-15.66638158
0.101,-10.21593,-15.81168929
0.102,-10.102407,-15.95450097
0.103,-10.052324,-16.09479409
0.104,-10.089476,-16.23254649
0.105,-10.188584,-16.36773644
0.106,-10.318411,-16.50034259
0.107,-10.555768,-16.63034402
0.108,-10.785447,-16.75772018
0.109,-11.073532,-16.88245099
0.11,-11.468313,-17.00451675
0.111,-12.016919,-17.12389819
0.112,-12.57681,-17.24057646
0.113,-13.007518,-17.35453315
0.114,-13.408595,-17.46575027
0.115,-13.737632,-17.57421026
0.116,-14.048013,-17.679896
0.117,-14.361664,-17.7827908
0.118,-14.557302,-17.88287842
0.119,-14.763679,-17.98014307
0.12,-14.88764,-18.07456939
0.121,-14.982352,-18.16614247
0.122,-15.027414,-18.25484786
0.123,-15.050345,-18.34067155
0.124,-15.030783,-18.4236
0.125,-18.826386,-18.50362012
0.126,-18.813343,-18.58071927
0.127,-18.783321,-18.65488528
0.128,-18.66059,-18.72610644
0.129,-18.340363,-18.79437152
0.13,-17.956293,-18.85966973
0.131,-17.596647,-18.92199077
0.132,-17.397055,-18.9813248
0.133,-17.304173,-19.03766245
0.134,-17.316396,-19.09099483
0.135,-17.428163,-19.14131353
0.136,-17.60711,-19.18861059
0.137,-17.936374,-19.23287855
0.138,-18.238291,-19.27411043
0.139,-18.617258,-19.31229971
0.14,-18.995744,-19.34744036
0.141,-19.303451,-19.37952685
0.142,-19.663139,-19.40855409
0.143,-19.788733,-19.43451752
0.144,-19.794201,-19.45741304
0.145,-19.616799,-19.47723702
0.146,-19.336217,-19.49398633
0.147,-18.851817,-19.50765835
0.148,-18.756724,-19.5182509
0.149,-18.839835,-19.52576231
0.15,-19.302221,-19.53019141
0.151,-19.697349,-19.53153748
0.152,-20.113818,-19.52980032
0.153,-20.500915,-19.5249802
0.154,-20.739873,-19.51707789
0.155,-20.630467,-19.50609462
0.156,-20.505688,-19.49203214
0.157,-20.212832,-19.47489266
0.158,-19.855469,-19.45467889
0.159,-19.470442,-19.43139402
0.16,-19.063668,-19.40504173
0.161,-18.605026,-19.37562617
0.162,-18.136033,-19.34315199
0.163,-17.708755,-19.30762431
0.164,-17.440138,-19.26904875
0.165,-17.405479,-19.2274314
0.166,-17.542885,-19.18277881
0.167,-17.722581,-19.13509805
0.168,-17.861159,-19.08439664
0.169,-18.000053,-19.03068258
0.17,-18.184894,-18.97396435
0.171,-18.481697,-18.91425091
0.172,-18.838239,-18.85155167
0.173,-19.144854,-18.78587655
0.174,-19.321829,-18.7172359
0.175,-19.411187,-18.64564057
0.176,-19.42478,-18.57110185
0.177,-19.488375,-18.49363151
0.178,-19.589806,-18.41324178
0.179,-19.650292,-18.32994535
0.18,-19.702886,-18.24375537
0.181,-19.628744,-18.15468545
0.182,-19.431745,-18.06274964
0.183,-19.211342,-17.96796246
0.184,-19.110971,-17.87033887
0.185,-19.132304,-17.76989429
0.186,-19.308067,-17.66664456
0.187,-19.372119,-17.56060599
0.188,-19.315389,-17.45179532
0.189,-19.160861,-17.34022972
0.19,-19.032598,-17.22592681
0.191,-19.029408,-17.10890463
0.192,-19.245309,-16.98918164
0.193,-19.236686,-16.86677676
0.194,-19.150407,-16.74170931
0.195,-19.012631,-16.61399902
0.196,-18.884734,-16.48366606
0.197,-18.840523,-16.350731
0.198,-18.879476,-16.21521482
0.199,-18.816576,-16.07713893
0.2,-18.615173,-15.93652511
0.201,-18.221286,-15.79339556
0.202,-17.684513,-15.64777289
0.203,-17.136127,-15.49968006
0.204,-16.732827,-15.34914047
0.205,-16.462613,-15.19617788
0.206,-16.241201,-15.04081643
0.207,-15.838892,-14.88308065
0.208,-15.288096,-14.72299544
0.209,-14.659883,-14.56058606
0.21,-14.238804,-14.39587817
0.211,-13.940583,-14.22889775
0.212,-13.909746,-14.05967117
0.213,-13.865371,-13.88822514
0.214,-13.737057,-13.71458673
0.215,-13.519437,-13.53878335
0.216,-13.339459,-13.36084274
0.217,-13.344682,-13.180793
0.218,-13.578985,-12.99866255
0.219,-13.981383,-12.81448015
0.22,-14.316875,-12.62827486
0.221,-14.659686,-12.44007608
0.222,-14.889952,-12.24991352
0.223,-15.057471,-12.05781719
0.224,-15.276166,-11.86381743
0.225,-15.363262,-11.66794486
0.226,-15.31424,-11.4702304
0.227,-15.082261,-11.27070525
0.228,-14.681006,-11.06940092
0.229,-14.144062,-10.86634919
0.23,-13.50659,-10.6615821
0.231,-12.851195,-10.45513198
0.232,-12.135808,-10.24703142
0.233,-11.462203,-10.03731327
0.234,-10.822434,-9.826010646
0.235,-10.163711,-9.613156892
