time,theta_t,theta_t_fit
0.01,9.984086,16.51050808
0.02,9.118799,15.21885859
0.03,7.75132,13.68712786
0.04,8.204309,11.93947933
0.05,7.894502,10.00348256
0.06,6.970926,7.909678403
0.07,5.064635,5.691097121
0.08,1.443907,3.382737381
0.09,1.913125,1.021014128
0.1,-0.965839,-1.356815875
0.11,-2.971359,-3.713241774
0.12,-4.848947,-6.01109037
0.13,-4.721487,-8.214112537
0.14,-9.004663,-10.28755506
0.15,-10.800875,-12.19870887
0.16,-12.365584,-13.91742504
0.17,-9.150703,-15.41659042
0.18,-17.147826,-16.67255528
0.19,-19.388061,-17.66550649
0.2,-20.814651,-18.37977998
0.21,-21.403446,-18.80410793
0.22,-22.122761,-18.93179644
0.23,-22.677792,-18.76083121
0.24,-23.101388,-18.29390926
0.25,-23.520468,-17.53839638
0.26,-23.668694,-16.50621099
0.27,-23.484503,-15.21363606
0.28,-21.66776,-13.68106227
0.29,-19.737542,-11.93266637
0.3,-15.957766,-9.996029713
0.31,-11.690561,-7.901703232
0.32,-7.849678,-5.682725439
0.33,-6.379923,-3.374101254
0.34,-5.299401,-1.012249792
0.35,-4.1467,1.36557016
0.36,-2.888612,3.721847906
0.37,-1.700282,6.019412586
0.38,0.045856,8.222019552
0.39,1.421683,10.29492214
0.4,13.361501,12.20541979
0.41,15.184725,13.92337395
0.42,17.463323,15.42168346
0.43,19.403581,16.67671211
0.44,20.995332,17.66866153
0.45,21.37563,18.38188347
0.46,21.707535,18.80512668
0.47,22.092788,18.93171438
0.48,21.914734,18.75964964
0.49,21.960924,18.2916468
0.5,21.740973,17.53508874
0.51,21.565807,16.50191034
0.52,19.981065,15.20841025
0.53,19.212052,13.67499374
0.54,18.674828,11.92585084
0.55,17.986401,9.988574715
0.56,17.664147,7.893726363
0.57,17.210541,5.674352536
0.58,16.688201,3.365464402
0.59,13.429131,1.003485239
0.6,6.50927,-1.374324151
0.61,2.192745,-3.730453238
0.62,-1.873506,-6.027733509
0.63,-5.032421,-8.2299248
0.64,-6.402852,-10.302287
0.65,-4.663026,-12.21212809
0.66,-9.303739,-13.92931986
0.67,-11.524407,-15.42677318
0.68,-12.969586,-16.68086536
0.69,-13.678078,-17.67181278
0.7,-16.647508,-18.38398301
0.71,-18.66751,-18.80614139
0.72,-20.960006,-18.93162825
0.73,-22.561849,-18.75846403
0.74,-23.834331,-18.28938042
0.75,-24.28998,-17.53177734
0.76,-24.189398,-16.49760615
0.77,-23.321195,-15.20318117
0.78,-21.09408,-13.66892227
0.79,-17.507264,-11.91903276
0.8,-9.056678,-9.981117569
0.81,-7.645225,-7.885747797
0.82,-6.481063,-5.665978413
0.83,-4.599126,-3.356826826
0.84,-2.820168,-0.99472047
0.85,-1.383398,1.383077846
0.86,2.526959,3.739057769
0.87,7.040262,6.036053136
0.88,6.478488,8.237828279
0.89,14.71006,10.30964966
0.9,18.005471,12.21883377
0.91,20.445106,13.93526278
0.92,22.158323,15.43185959
0.93,23.127609,16.68501502
0.94,23.607386,17.67496023
0.95,23.712973,18.3860786
0.96,23.516277,18.80715205
0.97,22.940607,18.93153806
0.98,20.374609,18.75727439
0.99,13.805184,18.28711011
1,12.920792,17.52846216
1.01,11.929967,16.49329842
1.02,10.088171,15.19794883
1.03,8.246869,13.66284786
1.04,6.807274,11.91221211
1.05,5.466978,9.973658279
1.06,4.427968,7.877767536
1.07,3.158127,5.657603073
1.08,1.910535,3.348188529
1.09,0.776575,0.985955487
1.1,0.18807,-1.391831244
1.11,-1.050786,-3.747661496
1.12,-2.097795,-6.044371465
1.13,-2.953289,-8.245729988
1.14,-4.721612,-10.31701009
1.15,-6.49427,-12.22553682
1.16,-3.322498,-13.9412027
1.17,-9.710951,-15.43694268
1.18,-5.693767,-16.68916109
1.19,-14.149713,-17.67810388
1.2,-16.632924,-18.38817023
1.21,-17.493983,-18.80815868
1.22,-17.8367,-18.93144379
1.23,-18.202101,-18.75608072
1.24,-18.600924,-18.28483586
1.25,-18.987772,-17.52514322
1.26,-19.158317,-16.48898714
1.27,-19.158763,-15.19271322
1.28,-18.875942,-13.65677052
1.29,-17.606988,-11.9053889
1.3,-16.765651,-9.966196845
1.31,-10.351804,-7.869785583
1.32,-13.317041,-5.649226516
1.33,-10.856944,-3.339549512
1.34,-8.796568,-0.977190293
1.35,-8.155033,1.400584343
1.36,-7.093726,3.756264417
1.37,-5.072243,6.052688496
1.38,2.336435,8.253629925
1.39,-2.547891,10.32436831
1.4,8.349325,12.23223725
1.41,1.121495,13.94713963
1.42,13.617848,15.44202246
1.43,15.220838,16.69330358
1.44,16.173925,17.68124374
1.45,16.852031,18.39025792
1.46,17.317853,18.80916126
1.47,17.294516,18.93134545
1.48,6.620429,18.75488302
