x_exp,v_x_exp,v_y_exp,x_sim,v_x_sim,v_y_sim
0.002,-0.000295,-0.000535,0.003333,0.000044,-0.001506
0.004,-0.000178,-0.000886,0.006667,0.000427,-0.002396
0.006,0.000117,-0.001612,0.01,0.001119,-0.002389
0.008,0.000669,-0.002699,0.013333,0.001966,-0.0024
0.01,0.001521,-0.00405,0.016667,0.003069,-0.002471
0.012,0.002646,-0.005579,0.02,0.00448,-0.002511
0.014,0.003956,-0.007201,0.023333,0.006234,-0.003699
0.016,0.005417,-0.008872,0.026667,0.008692,-0.005526
0.018,0.00705,-0.010663,0.03,0.011718,-0.007877
0.02,0.008897,-0.012622,0.033333,0.0156,-0.01227
0.022,0.010999,-0.014769,0.036667,0.020701,-0.016657
0.024,0.013361,-0.017223,0.04,0.02712,-0.021946
0.026,0.015926,-0.019956,0.043333,0.034508,-0.028414
0.028,0.018648,-0.022882,0.046667,0.042857,-0.035973
0.03,0.021618,-0.025921,0.05,0.053691,-0.043104
0.032,0.024876,-0.029073,0.053333,0.065291,-0.053075
0.034,0.028568,-0.032362,0.056667,0.078333,-0.062303
0.036,0.032861,-0.035733,0.06,0.089145,-0.066385
0.038,0.037903,-0.03923,0.063333,0.089018,-0.052589
0.04,0.043641,-0.043131,0.066667,0.06845,0.02316
0.042,0.049757,-0.047631,0.07,0.047128,0.226162
0.044,0.05594,-0.053008,0.073333,0.028536,0.603336
0.046,0.061986,-0.059407,0.076667,0.008481,0.722343
0.048,0.06726,-0.067043,0.08,-0.018526,0.587287
0.05,0.070756,-0.07647,0.083333,-0.053308,0.220231
0.052,0.071327,-0.087654,0.086667,-0.089117,0.034834
0.054,0.068132,-0.099496,0.09,-0.111978,-0.054677
0.056,0.060963,-0.109375,0.093333,-0.11134,-0.076661
0.058,0.05054,-0.112796,0.096667,-0.099477,-0.075104
0.06,0.038116,-0.101962,0.1,-0.085676,-0.066916
0.062,0.023898,-0.064063,0.103333,-0.071504,-0.05607
0.064,0.006508,0.01851,0.106667,-0.058726,-0.04605
0.066,-0.014317,0.163474,0.11,-0.047441,-0.037733
0.068,-0.034249,0.379472,0.113333,-0.038046,-0.029666
0.07,-0.044938,0.652996,0.116667,-0.028756,-0.021483
0.072,-0.038683,0.936565,0.12,-0.021818,-0.014949
0.074,-0.013362,1.158638,0.123333,-0.016668,-0.009174
0.076,0.024292,1.256482,0.126667,-0.012661,-0.00568
0.078,0.063631,1.205845,0.13,-0.00907,-0.003218
0.08,0.093165,1.030245,0.133333,-0.006309,-0.001869
0.082,0.102429,0.785067,0.136667,-0.004223,-0.001626
0.084,0.08721,0.528404,0.14,-0.00278,-0.001357
0.086,0.052134,0.299748,0.143333,-0.001573,-0.001145
0.088,0.009295,0.120713,0.146667,-0.00071,-0.000855
0.09,-0.03014,-0.004571,0.15,-0.000144,-0.000307
0.092,-0.060519,-0.081899,,,
0.094,-0.081096,-0.1222,,,
0.096,-0.093686,-0.137966,,,
0.098,-0.100817,-0.139428,,,
0.1,-0.10441,-0.133393,,,
0.102,-0.105427,-0.12389,,,
0.104,-0.104262,-0.112911,,,
0.106,-0.100992,-0.101785,,,
0.108,-0.095643,-0.091148,,,
0.11,-0.088573,-0.081198,,,
0.112,-0.080403,-0.071856,,,
0.114,-0.071722,-0.063036,,,
0.116,-0.063099,-0.054999,,,
0.118,-0.054743,-0.047653,,,
0.12,-0.04689,-0.040835,,,
0.122,-0.039851,-0.034566,,,
0.124,-0.033615,-0.029113,,,
0.126,-0.028287,-0.024632,,,
0.128,-0.023699,-0.020846,,,
0.13,-0.019588,-0.017497,,,
0.132,-0.015825,-0.014494,,,
0.134,-0.012329,-0.011781,,,
0.136,-0.009091,-0.009255,,,
0.138,-0.006175,-0.006991,,,
0.14,-0.003659,-0.004995,,,
0.142,-0.001606,-0.003229,,,
0.144,-0.000082,-0.001728,,,
0.146,0.000897,-0.00052,,,
0.148,0.001403,0.000301,,,
0.15,0.001607,0.000699,,,
