phase,theta_t,deltaFlux_5cm,theta_t_fit
-0.812480859,-4.22099,-15.83903,-5.329505989
-0.758315468,-4.55898,-10.047116,-5.589824439
-0.704150078,-4.842546,-9.226035,-5.834268803
-0.649984687,-4.9782,-10.310733,-6.062144902
-0.595819296,-4.625826,-9.309401,-6.27280561
-0.541653906,-4.459768,-18.720457,-6.465652689
-0.487488515,-4.56448,-16.959769,-6.640138488
-0.433323125,-5.129848,-20.279575,-6.795767499
-0.379157734,-5.54729,-6.386524,-6.932097764
-0.324992343,-6.038757,-8.390402,-7.04874213
-0.270826953,-6.454914,-10.104189,-7.145369347
-0.216661562,-5.915925,-6.392703,-7.221705013
-0.162496172,-6.728167,0.779153,-7.277532348
-0.108330781,-6.657499,-8.108244,-7.312692811
-0.054165391,-7.51775,0.34141,-7.327086555
-1.89E-15,-8.385377,-1.549613,-7.320672703
0.054165391,-7.524646,5.043074,-7.293469469
0.108330781,-7.977764,9.213434,-7.245554106
0.162496172,-7.764819,9.347099,-7.177062684
0.216661562,-8.033407,11.323931,-7.088189708
0.270826953,-8.267196,7.317636,-6.979187559
0.324992343,-8.363495,4.903014,-6.850365784
0.379157734,-8.194192,-9.144253,-6.702090215
0.433323125,-8.151263,-10.470786,-6.534781925
0.487488515,-5.278988,0.07558,-6.348916041
0.541653906,-5.21591,2.868463,-6.145020389
0.595819296,-6.657198,-1.835275,-5.923673993
0.649984687,-6.628011,11.341274,-5.685505439
0.704150078,-6.834908,19.397245,-5.431191082
0.758315468,-6.598705,17.571559,-5.161453128
0.812480859,-6.412849,23.608663,-4.877057584
0.866646249,-6.279431,5.43131,-4.578812081
0.92081164,-5.350912,11.721618,-4.267563584
0.97497703,-5.229407,12.861838,-3.94419598
1.029142421,-4.788117,9.003854,-3.609627576
1.083307812,-4.306931,23.031759,-3.264808485
1.137473202,-3.564579,28.773811,-2.910717931
1.191638593,-3.095931,26.922987,-2.548361466
1.245803983,-2.810872,30.503815,-2.178768117
1.299969374,-2.210178,26.266775,-1.802987462
1.354134764,-1.784015,24.04128,-1.42208665
1.408300155,-1.280161,11.596815,-1.03714737
1.462465546,-1.370415,6.389292,-0.64926278
1.516630936,-0.710248,4.587844,-0.259534401
1.570796327,1.167661,9.181741,0.130931008
1.624961717,1.973584,15.175406,0.521024597
1.679127108,1.231204,13.318819,0.909638571
1.733292499,3.098513,6.076819,1.295669336
1.787457889,1.644054,1.942036,1.678020636
1.84162328,2.003692,2.601212,2.055606661
1.89578867,2.289544,11.701689,2.427355137
1.949954061,2.481938,9.207751,2.792210365
2.004119451,2.486446,4.103514,3.149136222
2.058284842,2.337278,5.443432,3.497119104
2.112450233,3.329389,1.888632,3.835170803
2.166615623,3.685721,4.997309,4.162331312
2.220781014,4.038676,5.836359,4.477671557
2.274946404,4.351943,15.144032,4.780296027
2.329111795,3.197941,10.777847,5.069345324
2.383277185,5.260783,13.465435,5.3439986
2.437442576,5.226737,3.168944,5.603475891
2.491607967,5.440673,-1.977387,5.847040327
2.545773357,6.040028,4.554084,6.07400023
2.599938748,4.22706,7.028145,6.283711075
2.654104138,6.543648,8.589215,6.475577322
2.708269529,6.672246,11.866381,6.649054104
2.76243492,6.665212,8.777661,6.803648779
2.81660031,6.691932,13.534447,6.938922327
2.870765701,6.977419,1.906532,7.054490596
2.924931091,7.126748,7.700531,7.150025391
2.979096482,6.811814,15.50009,7.225255413
3.033261872,6.785003,9.901015,7.27996702
3.087427263,7.004992,10.408339,7.314004843
3.141592654,7.424308,6.644341,7.32727222
3.195758044,7.75853,5.454829,7.319731473
3.249923435,7.970341,0.382394,7.291404018
3.304088825,8.084395,10.514563,7.2423703
3.358254216,8.138091,0.550082,7.172769564
3.412419606,8.144387,11.540829,7.082799465
3.466584997,7.699349,11.180347,6.972715501
3.520750388,8.030412,-3.813357,6.842830291
3.574915778,8.159367,-2.775998,6.693512684
3.629081169,8.16841,-1.178837,6.525186717
3.683246559,8.191454,-3.817427,6.338330404
3.73741195,6.194167,-6.370839,6.133474384
3.791577341,7.796992,-11.772433,5.911200409
3.845742731,7.810235,-9.756015,5.672139699
3.899908122,8.029127,-12.248224,5.416971141
3.954073512,8.014021,-7.062949,5.146419369
4.008238903,7.378145,-0.88477,4.8612527
4.062404293,7.347707,-10.957512,4.562280955
4.116569684,6.932151,-13.114311,4.250353161
4.170735075,4.929784,-13.861378,3.926355136
4.224900465,4.670736,-17.967644,3.591206974
4.279065856,5.926439,-15.292984,3.245860437
4.333231246,5.898321,-3.423375,2.891296245
4.387396637,5.417844,-2.633882,2.528521297
4.441562027,3.711666,-1.557105,2.158565807
4.495727418,5.386827,-11.411485,1.782480383
4.549892809,4.976441,-14.282322,1.401333037
4.604058199,4.398984,-20.218472,1.01620616
4.65822359,3.949273,-21.282136,0.628193443
4.71238898,3.736682,-27.331911,0.238396769
4.766554371,3.694625,-20.163133,-0.152076908
4.820719762,3.520179,-12.167103,-0.542118714
4.874885152,3.352946,-14.459087,-0.930621001
4.929050543,2.704551,-6.770501,-1.316480493
4.983215933,1.949145,-10.88818,-1.69860142
5.037381324,1.171459,-18.730355,-2.075898627
5.091546714,0.335551,-21.387906,-2.447300659
5.145712105,-0.276985,-19.62902,-2.811752802
5.199877496,-0.868911,-21.469219,-3.168220077
5.254042886,-1.237927,-17.513309,-3.515690181
5.308208277,-1.552446,-18.214795,-3.853176364
5.362373667,-2.014887,-21.893716,-4.179720226
5.416539058,-2.620855,-7.21269,-4.494394441
5.470704448,-3.269597,-6.973136,-4.796305391
5.524869839,-3.639731,-13.573987,-5.084595705
5.57903523,-4.401217,-12.021683,-5.35844669
5.63320062,-5.107641,-14.251873,-5.617080659
5.687366011,-5.558687,-10.550592,-5.859763139
5.741531401,-5.73288,-8.436223,-6.085804955
5.795696792,-6.255184,-10.093539,-6.29456419
5.849862183,-6.35739,-8.037728,-6.485448005
5.904027573,-6.511188,-1.849827,-6.657914325
5.958192964,-6.801538,-1.753778,-6.811473377
6.012358354,-7.365398,-6.134915,-6.945689082
6.066523745,-7.359957,1.472321,-7.06018029
6.120689135,-7.648045,-5.534425,-7.154621867
6.174854526,-7.901043,-5.858541,-7.228745617
6.229019917,-8.322443,1.739121,-7.282341042
