phase,theta_t,deltaFlux_5cm,theta_t_fit
-0.81681409,-19.398089,-66.30666,-12.50467466
-0.691150384,-20.81336,-69.659567,-14.18795827
-0.565486678,-21.875089,-64.583434,-15.64742335
-0.439822972,-22.687731,-67.77051,-16.86004647
-0.314159265,-22.423659,-96.734898,-17.80669821
-0.188495559,-21.222389,-114.941577,-18.47244491
-0.062831853,-19.988101,-201.057066,-18.84678425
0.062831853,-19.146773,-109.81435,-18.92381093
0.188495559,-18.672203,-105.937298,-18.70230983
0.314159265,-18.584272,-70.27676,-18.1857752
0.439822972,-18.935281,-31.462172,-17.38235549
0.565486678,-19.00093,-40.953656,-16.30472485
0.691150384,-19.125713,-41.445111,-14.96988316
0.81681409,-18.139997,-31.825161,-13.39888788
0.942477796,-16.087405,-32.335935,-11.61652185
1.068141502,-13.657267,-25.670132,-9.650902329
1.193805208,-9.662283,-33.359331,-7.53303745
1.319468915,-6.495241,-25.035338,-5.296337053
1.445132621,-4.574595,0.680001,-2.976085635
1.570796327,-2.507375,23.265791,-0.608885735
1.696460033,-0.23038,45.207904,1.767919488
1.822123739,1.720324,75.348437,4.116835346
1.947787445,2.757258,93.148408,6.400807113
2.073451151,4.951685,95.36029,8.583804574
2.199114858,-0.120088,97.807726,10.63139041
2.324778564,10.375862,105.951848,12.51126344
2.45044227,13.135201,118.734846,14.19376821
2.576105976,15.649467,134.85145,15.6523628
2.701769682,18.132315,128.353539,16.86403752
2.827433388,20.235785,113.565543,17.80967789
2.953097094,21.527659,105.503387,18.47436622
3.078760801,22.338745,103.656242,18.84761687
3.204424507,22.86378,75.400819,18.92354174
3.330088213,22.814388,49.098011,18.70094307
3.455751919,21.052691,51.626791,18.18333243
3.581415625,17.281159,56.274918,17.37887525
3.707079331,12.549236,35.731764,16.30026203
3.832743037,10.115823,24.48944,14.96450817
3.958406744,8.880825,17.240798,13.39268551
4.08407045,7.573773,4.196614,11.60958995
4.209734156,5.554016,-12.795575,9.643350247
4.335397862,3.713003,-7.813267,7.524984322
4.461061568,2.651783,7.20728,5.287909918
4.586725274,1.077322,-12.031338,2.967417435
4.71238898,-0.961471,-25.018933,0.600113211
4.838052687,-2.622348,-46.428256,-1.776657946
4.963716393,-3.789591,-64.327602,-4.125401887
5.089380099,-5.990993,-62.928668,-6.409066598
5.215043805,-14.406307,-62.502417,-8.591626707
5.340707511,-16.561707,-53.756104,-10.63865179
5.466371217,-18.375641,-42.302856,-12.51784953
5.592034923,-19.859243,-53.682167,-14.19957511
5.71769863,-20.324695,-59.629787,-15.6572989
5.843362336,-20.950126,-59.004492,-16.86802494
5.969026042,-21.189953,-61.866871,-17.81265375
6.094689748,-21.017489,-69.274463,-18.47628356
6.220353454,-20.394554,-86.945353,-18.84844545
6.34601716,-17.805017,-109.451346,-18.92326848
6.471680866,-14.747731,-137.920212,-18.69957229
6.597344573,-11.280656,-139.406396,-18.18088575
6.723008279,-8.964609,-78.878882,-17.37539127
6.848671985,-7.229671,26.406211,-16.29579571
6.974335691,-6.755596,67.479465,-14.95912997
7.099999397,-5.271609,56.054467,-13.38648027
