time,S_mixed_0Hz,S_mixed_1Hz_Pi,S_mixed_2Hz_Pi,S_mixed_4Hz_Pi,S_mixed_8Hz_Pi,S_mixed_12Hz_Pi,S_mixed_16Hz_Pi,S_mixed_20Hz_Pi,S_mixed_30Hz_Pi,S_mixed_1Hz_0,S_mixed_2Hz_0,S_mixed_4Hz_0,S_mixed_8Hz_0,S_mixed_12Hz_0,S_mixed_16Hz_0,S_mixed_20Hz_0,S_mixed_30Hz_0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0.016805595,0.019304866,0.017384845,0.015448357,0.016611871,0.022959335,0.015349995,0.014068675,0.017146492,0.01413226,0.01882868,0.016635966,0.013478473,0.015848772,0.013433428,0.015171317,0.014635392
0.12,0.028197284,0.052476139,0.032324696,0.049316756,0.043288742,0.044595011,0.026017449,0.02686357,0.026890045,0.016632157,0.032319964,0.026171958,0.010505954,0.037750616,0.016255868,0.02795409,0.027516623
0.18,0.041297255,0.079986623,0.060267616,0.088280157,0.065237647,0.063370395,0.053087566,0.044037105,0.044170177,0.022469521,0.046755925,0.021944134,0.015969224,0.067147698,0.026069995,0.031904626,0.028777891
0.24,0.056804956,0.099630714,0.086779753,0.104163942,0.094203294,0.084398371,0.08400077,0.061837902,0.055422434,0.042063645,0.058669651,0.03803178,0.041373388,0.088849373,0.044714274,0.043269825,0.04786543
0.3,0.065320408,0.119495061,0.109519122,0.125936712,0.116178819,0.107908326,0.10752596,0.079278272,0.069977429,0.054174689,0.087869277,0.075542432,0.059520192,0.119545579,0.067724823,0.053729685,0.066349728
0.36,0.081777691,0.132087566,0.137446371,0.166576006,0.148247891,0.126572251,0.123883041,0.099724479,0.08777275,0.061134616,0.133451407,0.082920159,0.081758068,0.142771229,0.078007936,0.06526664,0.080862685
0.42,0.093303309,0.142275066,0.160943381,0.191249167,0.173278085,0.153388531,0.139599573,0.113295132,0.101087881,0.083139656,0.154902663,0.090150909,0.10711408,0.165277734,0.079235606,0.083899672,0.088369339
0.48,0.103938438,0.148550305,0.173560041,0.217716793,0.200556567,0.180384042,0.145781882,0.125911505,0.115709065,0.093128678,0.172308367,0.10347453,0.149364173,0.194296191,0.091669693,0.098222289,0.101558515
0.54,0.123111797,0.15665812,0.205085623,0.235061781,0.22463809,0.20140877,0.175021261,0.147941866,0.129184855,0.11287496,0.19088029,0.125378716,0.166531078,0.199682957,0.108617592,0.112942559,0.110246497
0.6,0.134574113,0.173670501,0.237216368,0.251234798,0.240750826,0.221562716,0.199509299,0.16176618,0.135391794,0.141236741,0.202217391,0.143819251,0.198286032,0.225066526,0.131001565,0.124271994,0.13389393
0.66,0.148607305,0.193166647,0.260485221,0.264166893,0.261678409,0.234202749,0.216021028,0.179903192,0.152538161,0.163191336,0.213198895,0.146688292,0.211355192,0.251931819,0.14913837,0.135722195,0.148336514
0.72,0.162005967,0.213128797,0.283905898,0.28890935,0.274983665,0.25289962,0.234929999,0.196391957,0.165766368,0.176413509,0.232165532,0.157556529,0.252195128,0.267230285,0.148622192,0.153359442,0.159463357
0.78,0.170909307,0.233131432,0.304699079,0.318298717,0.296594303,0.271820686,0.252713828,0.207409967,0.172390677,0.18574924,0.259323986,0.182528392,0.260867095,0.290681369,0.16923798,0.164030292,0.172722219
0.84,0.180773324,0.258529059,0.330222915,0.341076105,0.311173411,0.287823893,0.265788071,0.215153548,0.188836856,0.193592002,0.298608861,0.196072545,0.275035983,0.319691496,0.188842258,0.178255093,0.180367285
0.9,0.191302856,0.269348319,0.350763183,0.353727066,0.331891702,0.301124034,0.280682884,0.232531984,0.198730098,0.203271704,0.31627428,0.202810774,0.282584871,0.337201331,0.196382789,0.186370352,0.185225588
0.96,0.201095902,0.284979264,0.363316152,0.369053229,0.345219429,0.312297692,0.291710752,0.244673702,0.20707582,0.215960593,0.329434367,0.216478667,0.320590897,0.355209011,0.209391765,0.195068416,0.201380147
1.02,0.210641271,0.307383037,0.376457869,0.384575848,0.361430466,0.323162454,0.304286669,0.249330921,0.21747308,0.223068752,0.338394333,0.235852644,0.324621847,0.373432724,0.212606367,0.209995962,0.202405604
