frequency,deadzone_percentage,period,phase_offset
None,54.907843,None,None
0.5,24.00854526,2,0
0.66,21.74041499,1.515151515,0
0.835,17.70717332,1.19760479,0
0.87,16.91931244,1.149425287,0
1,15.87388165,1,0
1.11,14.66027287,0.900900901,0
1.33,8.933887866,0.751879699,0
2,7.400589381,0.5,0
3,5.869563571,0.333333333,0
4,2.900691651,0.25,0
5,3.45673962,0.2,0
6,3.144625501,0.166666667,0
8,12.42168739,0.125,0
10,9.429331152,0.1,0
12,8.578592911,0.083333333,0
14,12.98909873,0.071428571,0
16,26.10395218,0.0625,0
18,32.55910851,0.055555556,0
20,36.20751044,0.05,0
25,41.61723597,0.04,0
30,43.92475929,0.033333333,0
0.5,9.283879912,2,pi
0.66,10.14370886,1.515151515,pi
0.835,11.28610713,1.19760479,pi
0.87,10.28385719,1.149425287,pi
1,8.80737559,1,pi
1.11,8.576320235,0.900900901,pi
1.33,6.035468891,0.751879699,pi
2,4.142330099,0.5,pi
3,2.646151981,0.333333333,pi
4,2.75599797,0.25,pi
6,4.237782475,0.166666667,pi
8,9.767959819,0.125,pi
10,8.321780566,0.1,pi
12,9.814928449,0.083333333,pi
14,18.6503337,0.071428571,pi
16,26.26834239,0.0625,pi
18,32.18487459,0.055555556,pi
20,34.20907101,0.05,pi
25,41.68162845,0.04,pi
30,43.80506504,0.033333333,pi
60,46.01334818,0.016666667,pi
