time,S_mixed_0Ua,S_mixed_0.125Ua,S_mixed_0.25Ua,S_mixed_0.375Ua,S_mixed_0.5Ua,S_mixed_0.625Ua,S_mixed_0.75Ua,S_mixed_0.875Ua,S_mixed_1.0Ua
0,0,0,0,0,0,0,0,0,0
0.06,0.016805595,0.015808231,0.016663096,0.016206973,0.017989461,0.016137415,0.019813616,0.017350567,0.017384845
0.12,0.028197284,0.025745775,0.034114616,0.034571378,0.039577391,0.037318947,0.039282873,0.037248389,0.032324696
0.18,0.041297255,0.037786375,0.056226208,0.047055571,0.050943603,0.067114886,0.056579691,0.051600449,0.060267616
0.24,0.056804956,0.0494241,0.071895331,0.065863663,0.070831871,0.091827355,0.084203304,0.076202762,0.086779753
0.3,0.065320408,0.067689793,0.083774247,0.084800933,0.091224294,0.111916364,0.105924725,0.096910589,0.109519122
0.36,0.081777691,0.080864685,0.107797329,0.102460768,0.111810508,0.145653591,0.129233909,0.122544812,0.137446371
0.42,0.093303309,0.097253243,0.122436248,0.12020733,0.131988153,0.161552983,0.151247267,0.14724924,0.160943381
0.48,0.103938438,0.114016405,0.13761181,0.131303408,0.148405596,0.186312312,0.170355943,0.168404041,0.173560041
0.54,0.123111797,0.125130237,0.153029137,0.147659856,0.172621686,0.20757935,0.193884323,0.192054716,0.205085623
0.6,0.134574113,0.141269405,0.164726721,0.169874099,0.19628177,0.227656063,0.217812607,0.217850349,0.237216368
0.66,0.148607305,0.152711956,0.179561925,0.182382445,0.209859552,0.246159897,0.232659447,0.233248161,0.260485221
0.72,0.162005967,0.16244535,0.191646358,0.193643029,0.229281658,0.256375975,0.24831165,0.251781612,0.283905898
0.78,0.170909307,0.177292616,0.202826811,0.20450192,0.243308502,0.272647498,0.262592739,0.269399752,0.304699079
0.84,0.180773324,0.186975751,0.215888043,0.217825574,0.257300245,0.28922856,0.280251165,0.288946267,0.330222915
0.9,0.191302856,0.197362783,0.224075458,0.229069343,0.270522201,0.297293556,0.297993373,0.310108181,0.350763183
0.96,0.201095902,0.205606793,0.22824079,0.239121328,0.280512047,0.307580874,0.307769806,0.32127769,0.363316152
1.02,0.210641271,0.20954138,0.24375662,0.250140058,0.290545741,0.315466336,0.321829979,0.338983697,0.376457869
1.08,0.217834275,0.221196832,0.251844057,0.26283528,0.303583528,0.325515434,0.336727999,0.353510784,0.395099593
1.14,0.223645525,0.23041582,0.261219857,0.269594925,0.310675692,0.335713562,0.345040283,0.361390236,0.409954316
1.2,0.232077757,0.233088954,0.267852121,0.275005554,0.318910454,0.341021948,0.353938491,0.367931066,0.423140383
1.26,0.236092899,0.241726135,0.266872743,0.281044986,0.326611335,0.344793299,0.363751923,0.381213076,0.439091391
1.32,0.245061366,0.246711181,0.276974616,0.289332351,0.335707029,0.35598865,0.371264336,0.394351255,0.45367034
1.38,0.252758337,0.253352982,0.287014108,0.296155956,0.345270777,0.362814995,0.381027428,0.404027691,0.468038745
1.44,0.252061037,0.264418933,0.288457323,0.301500913,0.35087719,0.369316359,0.385447108,0.411393955,0.47862191
1.5,0.263343267,0.269248951,0.298233752,0.306538511,0.360602789,0.373353025,0.386176012,0.417426348,0.489052252
1.56,0.269914105,0.273308413,0.303801107,0.313185695,0.366458938,0.379057912,0.398144664,0.4256867,0.49742507
1.62,0.273589405,0.280290762,0.308840284,0.32110375,0.374231289,0.384436267,0.405677832,0.435691482,0.50926452
1.68,0.28088022,0.279048635,0.313328257,0.324872128,0.378806291,0.388050682,0.411854299,0.440840289,0.515147767
1.74,0.281331901,0.288462005,0.317056879,0.329010718,0.382809125,0.392274921,0.414952554,0.447457762,0.522245404
1.8,0.285432794,0.296625008,0.323292062,0.334051963,0.389193758,0.397260117,0.419045202,0.453979831,0.530860123
1.86,0.294462807,0.300449397,0.329373149,0.339084677,0.393095888,0.402544786,0.426816353,0.460667722,0.541360419
1.92,0.297633787,0.304291754,0.332864627,0.343588834,0.397284235,0.408173554,0.429819432,0.467325845,0.550659283
1.98,0.301655957,0.30437664,0.336140026,0.34707474,0.401276634,0.411014853,0.431707246,0.473805232,0.557441774
2.04,0.306794111,0.309859274,0.340954279,0.346049462,0.404775563,0.410098138,0.43983338,0.479949797,0.562563273
2.1,0.308786367,0.31822087,0.343870405,0.355844779,0.40899835,0.418288781,0.446968176,0.48606217,0.565911904
2.16,0.312951396,0.321634794,0.346504653,0.35871435,0.412589911,0.42289752,0.450386227,0.489404951,0.572252645
2.22,0.316161442,0.325673963,0.350112471,0.363216501,0.415881412,0.426740952,0.453854522,0.491584639,0.579480841
2.28,0.318500021,0.330384774,0.350980362,0.366182253,0.418465961,0.42945672,0.458312723,0.498918456,0.583993862
2.34,0.324353566,0.332345727,0.357149401,0.369495058,0.421655625,0.434226762,0.46119364,0.505981617,0.598291376
2.4,0.323938218,0.335386282,0.359826339,0.373608797,0.422503731,0.437164338,0.464306581,0.5116886,0.605819288
2.46,0.328766134,0.337215613,0.358947835,0.374866966,0.426355046,0.440167437,0.467647785,0.51423686,0.611212956
2.52,0.334200731,0.339852738,0.365302776,0.37575408,0.429180226,0.444498168,0.46701773,0.519042736,0.61775996
2.58,0.334004164,0.344754115,0.367327045,0.381233136,0.432052494,0.446697478,0.47392127,0.522465354,0.624567869
2.64,0.337552464,0.344975756,0.370811882,0.383293062,0.434778774,0.448733893,0.477549993,0.5259351,0.629685887
2.7,0.34098008,0.347658732,0.373478853,0.38481638,0.43758609,0.451349092,0.480334745,0.52912848,0.632894101
2.76,0.339742022,0.352400154,0.37057821,0.387305297,0.440104762,0.451904761,0.483346751,0.529418407,0.632859476
2.82,0.345577377,0.351059211,0.377674733,0.388580224,0.441300589,0.455844075,0.484757586,0.538804048,0.644702628
2.88,0.346907836,0.358548352,0.379576029,0.393114753,0.443003741,0.457783546,0.487640691,0.542220467,0.649135657
2.94,0.348099698,0.360586754,0.380723171,0.39416142,0.444924314,0.46143308,0.489991994,0.544793924,0.654764701
3,0.353520827,0.360393778,0.383370398,0.393390264,0.444490429,0.464419784,0.489325818,0.547793096,0.658806792
3.06,0.354693402,0.36536109,0.382433685,0.398020078,0.44933692,0.466138,0.495278096,0.551118568,0.661961388
3.12,0.353577802,0.366841386,0.384952766,0.399265078,0.451501572,0.46915281,0.497086725,0.555370854,0.666024479
3.18,0.359143937,0.368816048,0.389172124,0.402056607,0.454292168,0.472178205,0.500136516,0.557221101,0.668133761
3.24,0.357354518,0.371600393,0.390029746,0.403787991,0.457179027,0.474567278,0.502548536,0.556515091,0.666623302
3.3,0.361752065,0.372864621,0.389986404,0.404684143,0.45732645,0.477721107,0.502498945,0.565160718,0.674831863
3.36,0.364685797,0.370332634,0.394898849,0.40853452,0.459722054,0.47977362,0.507450931,0.567507604,0.679501038
3.42,0.367308307,0.374710659,0.397175506,0.409899644,0.462390527,0.481971352,0.509854944,0.571528184,0.684686835
3.48,0.369091892,0.371329259,0.395391446,0.412295067,0.463737048,0.483655004,0.511440228,0.574032673,0.687175559
3.54,0.367293846,0.371997548,0.397345949,0.41394468,0.466048572,0.485412158,0.512968409,0.577408188,0.693488359
3.6,0.368472038,0.379755081,0.402054853,0.414217496,0.467776467,0.48762406,0.516222331,0.580039128,0.697745318
3.66,0.373820132,0.381584687,0.402652098,0.417254291,0.469294018,0.488467234,0.518908257,0.582918407,0.700060646
3.72,0.374464945,0.384007365,0.402648526,0.419382974,0.470617876,0.487012341,0.52069719,0.583137732,0.701711678
